AAL3_20,AAL3_21,AAL3_22,AAL3_23,AAL3_40,AAL3_41,AAL3_42,AAL3_43,AAL3_44,AAL3_45,AAL3_70,AAL3_71,AAL3_72,AAL3_73,AAL3_90,AAL3_91
0.4120415,0.43620443,-0.47318992,-0.3708544,-1.5141093,-0.3066025,-1.5207287,-0.8691756,1.2194579,0.30928442,-0.99531883,-0.68636197,0.3831687,-1.1310838,-0.047113806,0.5821043
0.37564993,0.38889492,-0.6919052,-0.49397236,-1.3576288,-0.21033432,-1.3641434,-0.7302194,1.0788971,0.45956326,-1.1162236,-0.7178851,0.36142057,-1.2342085,-0.11042943,0.7929104
0.2938609,0.32764375,-0.8572951,-0.5806574,-1.2363198,-0.13242295,-1.2162743,-0.5980816,0.8658803,0.5533009,-1.1747743,-0.7005062,0.39523572,-1.2986279,-0.19320694,0.97931606
0.1561206,0.23739243,-0.9744389,-0.6455427,-1.1570942,-0.10254678,-1.091912,-0.5144091,0.5742239,0.5449435,-1.1557664,-0.6227736,0.47140995,-1.3016673,-0.2924521,1.1032975
-0.038288835,0.10598065,-1.058859,-0.71011674,-1.1123624,-0.1418521,-0.9962862,-0.51455647,0.21778715,0.3981764,-1.0523746,-0.4774716,0.550497,-1.2350237,-0.4033597,1.1246109
-0.2740327,-0.06653308,-1.1282022,-0.7913678,-1.0764537,-0.24678552,-0.918934,-0.60390794,-0.16394065,0.108903274,-0.86771244,-0.26424414,0.5728095,-1.1125057,-0.51948345,1.0175499
-0.5193697,-0.26136303,-1.1901884,-0.8891109,-1.0111471,-0.38222367,-0.8370607,-0.74406403,-0.5128173,-0.27899882,-0.61302185,0.008345714,0.48135424,-0.9662845,-0.6327995,0.7886534
-0.735296,-0.44481617,-1.2368406,-0.98336685,-0.88027406,-0.4955042,-0.730555,-0.86727476,-0.77309626,-0.6815421,-0.3055854,0.32122257,0.25252607,-0.8298584,-0.73398143,0.48175788
-0.89092857,-0.583457,-1.2518232,-1.0475413,-0.6650936,-0.5469058,-0.5984911,-0.9167159,-0.9151364,-1.0077536,0.029499214,0.6437856,-0.08574325,-0.71783525,-0.81350726,0.16152087
-0.9754657,-0.660899,-1.2244934,-1.0677649,-0.36990514,-0.5331282,-0.46047643,-0.8821652,-0.9440583,-1.1973792,0.35474774,0.93512064,-0.46269178,-0.6176157,-0.86356556,-0.117245466
