b'7Networks_LH_Default_Temp_1',b'7Networks_LH_Default_Temp_2',b'7Networks_LH_Default_Temp_3',b'7Networks_LH_Default_Temp_4',b'7Networks_LH_Default_Temp_5',b'7Networks_LH_Default_Temp_6',b'7Networks_LH_Default_Temp_7',b'7Networks_LH_Default_Temp_8',b'7Networks_LH_Default_Temp_9',b'7Networks_LH_Default_Temp_10',b'7Networks_LH_Default_Par_1',b'7Networks_LH_Default_Par_2',b'7Networks_LH_Default_Par_3',b'7Networks_LH_Default_Par_4',b'7Networks_LH_Default_Par_5',b'7Networks_LH_Default_Par_6',b'7Networks_LH_Default_Par_7',b'7Networks_LH_Default_PFC_1',b'7Networks_LH_Default_PFC_2',b'7Networks_LH_Default_PFC_3',b'7Networks_LH_Default_PFC_4',b'7Networks_LH_Default_PFC_5',b'7Networks_LH_Default_PFC_6',b'7Networks_LH_Default_PFC_7',b'7Networks_LH_Default_PFC_8',b'7Networks_LH_Default_PFC_9',b'7Networks_LH_Default_PFC_10',b'7Networks_LH_Default_PFC_11',b'7Networks_LH_Default_PFC_12',b'7Networks_LH_Default_PFC_13',b'7Networks_LH_Default_PFC_14',b'7Networks_LH_Default_PFC_15',b'7Networks_LH_Default_PFC_16',b'7Networks_LH_Default_PFC_17',b'7Networks_LH_Default_PFC_18',b'7Networks_LH_Default_PFC_19',b'7Networks_LH_Default_PFC_20',b'7Networks_LH_Default_PFC_21',b'7Networks_LH_Default_PFC_22',b'7Networks_LH_Default_PFC_23',b'7Networks_LH_Default_PFC_24',b'7Networks_LH_Default_pCunPCC_1',b'7Networks_LH_Default_pCunPCC_2',b'7Networks_LH_Default_pCunPCC_3',b'7Networks_LH_Default_pCunPCC_4',b'7Networks_LH_Default_pCunPCC_5',b'7Networks_LH_Default_pCunPCC_6',b'7Networks_LH_Default_pCunPCC_7',b'7Networks_LH_Default_pCunPCC_8',b'7Networks_LH_Default_pCunPCC_9',b'7Networks_LH_Default_pCunPCC_10',b'7Networks_LH_Default_pCunPCC_11',b'7Networks_RH_Default_Par_1',b'7Networks_RH_Default_Par_2',b'7Networks_RH_Default_Par_3',b'7Networks_RH_Default_Par_4',b'7Networks_RH_Default_Par_5',b'7Networks_RH_Default_Temp_1',b'7Networks_RH_Default_Temp_2',b'7Networks_RH_Default_Temp_3',b'7Networks_RH_Default_Temp_4',b'7Networks_RH_Default_Temp_5',b'7Networks_RH_Default_Temp_6',b'7Networks_RH_Default_Temp_7',b'7Networks_RH_Default_Temp_8',b'7Networks_RH_Default_PFCv_1',b'7Networks_RH_Default_PFCv_2',b'7Networks_RH_Default_PFCv_3',b'7Networks_RH_Default_PFCv_4',b'7Networks_RH_Default_PFCdPFCm_1',b'7Networks_RH_Default_PFCdPFCm_2',b'7Networks_RH_Default_PFCdPFCm_3',b'7Networks_RH_Default_PFCdPFCm_4',b'7Networks_RH_Default_PFCdPFCm_5',b'7Networks_RH_Default_PFCdPFCm_6',b'7Networks_RH_Default_PFCdPFCm_7',b'7Networks_RH_Default_PFCdPFCm_8',b'7Networks_RH_Default_PFCdPFCm_9',b'7Networks_RH_Default_PFCdPFCm_10',b'7Networks_RH_Default_PFCdPFCm_11',b'7Networks_RH_Default_PFCdPFCm_12',b'7Networks_RH_Default_PFCdPFCm_13',b'7Networks_RH_Default_pCunPCC_1',b'7Networks_RH_Default_pCunPCC_2',b'7Networks_RH_Default_pCunPCC_3',b'7Networks_RH_Default_pCunPCC_4',b'7Networks_RH_Default_pCunPCC_5',b'7Networks_RH_Default_pCunPCC_6',b'7Networks_RH_Default_pCunPCC_7',b'7Networks_RH_Default_pCunPCC_8',b'7Networks_RH_Default_pCunPCC_9'
-1.4851424,-1.3993593,-1.0590072,0.00080290047,0.10234052,0.06743436,-1.1542084,-0.5568059,-0.19840987,-0.17923525,0.8326764,-0.39597613,-0.5943657,-0.43675622,0.93233883,-0.45700353,1.0683303,-0.37429336,0.22995986,-1.8124362,-0.8076247,-0.085423835,-0.3896171,-0.14341949,-1.7258916,-1.534829,0.8591405,-0.89542186,-0.80712014,-0.47895116,-0.16464873,-0.9884689,-0.9914398,0.39979783,0.4254798,-0.42387792,0.8896162,0.22554252,0.25173128,-0.22004594,-0.42444533,-1.3324164,-0.7080187,-1.2861148,-1.0073826,-0.29616544,-1.4868124,-1.2131215,-0.47893444,-0.31858215,-0.28045624,-0.79194325,0.24945545,-1.4201297,0.8606235,1.173875,0.8322424,-0.9776645,-2.2539525,-1.4982169,-0.3617303,-0.64458007,0.5890506,0.6299457,0.108086616,-1.4615091,0.70126975,0.8077527,0.8809812,-1.1758587,-1.8787905,-0.87195504,-1.7110405,-0.88476986,-0.24939588,-1.8582927,-0.63152856,0.49335414,-1.1004028,0.2147067,-0.45046684,-0.09897994,-0.91100985,-0.8731188,-0.55047107,-1.340003,-1.2929983,-0.46401,-0.18205847,-0.9596792,0.41683313
-1.331748,-1.0635967,-1.0430042,0.28752542,0.2765322,0.36117196,-0.7031514,-0.15442877,0.07813578,0.09931237,1.066025,-0.19762813,-0.6398945,-0.3438008,0.8256649,-0.41580433,0.8949028,0.04229423,0.36963475,-1.5967118,-0.78320336,-0.14838119,-0.39456815,-0.06581859,-1.3769329,-1.25217,0.6740843,-0.7535521,-0.50829756,-0.33454114,0.11900001,-0.7840951,-0.9402549,0.32750407,0.58638537,-0.13624267,0.71868324,0.2636528,0.24846518,0.08744339,-0.09263159,-1.1757756,-0.6885887,-1.0654172,-1.0170137,-0.3224809,-1.2825052,-1.1814569,-0.7611017,0.08658563,-0.34363565,-1.0698472,0.058462966,-1.318929,0.4418778,0.7618338,0.61774033,-1.1833652,-2.0577173,-1.3065702,-0.35814703,-0.5969518,0.55296236,0.23290259,-0.05124619,-1.3599042,0.46914345,0.5648143,0.6352326,-1.0029002,-1.597594,-0.57188445,-1.4319657,-0.7889606,-0.22807641,-1.633606,-0.69646126,0.42633882,-1.0536094,0.45496124,-0.3908222,0.045448937,-0.8258921,-0.8109898,-0.6959407,-1.1783651,-1.2177273,-0.63338375,-0.0030415906,-0.99724346,-0.07442694
-1.168206,-0.8146564,-1.0223756,0.4297836,0.4048416,0.53785294,-0.38276374,0.12617347,0.30941424,0.3004125,1.1885769,-0.029126685,-0.6754355,-0.26806328,0.7468684,-0.38198388,0.7322486,0.3258153,0.4355481,-1.3846588,-0.7893031,-0.21013895,-0.39727774,-0.011860183,-1.0450244,-0.9839371,0.5149021,-0.610724,-0.19150668,-0.19718128,0.2885903,-0.57071507,-0.88781184,0.20528239,0.64226645,0.053446013,0.48903134,0.30622014,0.23118602,0.3327346,0.22240771,-1.0060661,-0.6536209,-0.84922576,-0.98479337,-0.3181545,-1.0662506,-1.1244398,-0.9652856,0.39831126,-0.3593905,-1.260236,-0.0525215,-1.2182692,0.07665124,0.43320552,0.4342715,-1.400709,-1.864723,-1.1555997,-0.4075638,-0.5785851,0.5186697,-0.13630857,-0.15988871,-1.2446151,0.19754636,0.3165268,0.42214963,-0.90599656,-1.3290699,-0.33832344,-1.1405977,-0.6978957,-0.10562554,-1.4240897,-0.78953844,0.37774727,-0.97407293,0.61303,-0.29323113,0.21396561,-0.7329455,-0.73248327,-0.79527044,-1.0098786,-1.1135975,-0.7527149,0.1511788,-1.0149794,-0.49068865
-1.0035936,-0.6851399,-1.0076945,0.39219174,0.4817253,0.55700976,-0.23381631,0.2531076,0.46431604,0.3884854,1.1821964,0.081108764,-0.70334136,-0.2343011,0.6969693,-0.37080836,0.582782,0.43217385,0.40893295,-1.2035948,-0.8291713,-0.2720415,-0.39186093,0.0054987804,-0.7719477,-0.7636644,0.39518085,-0.47571716,0.104376696,-0.09692317,0.2982925,-0.37559456,-0.8367336,0.027381403,0.5639405,0.11214736,0.20884408,0.35507601,0.21284841,0.4804179,0.48967394,-0.8441741,-0.6018537,-0.6683017,-0.9195282,-0.28636885,-0.8643114,-1.051003,-1.0553136,0.5895166,-0.3290062,-1.3340777,-0.06049421,-1.1280737,-0.19815472,0.23450366,0.2871601,-1.6052293,-1.6738861,-1.0434715,-0.5102555,-0.605249,0.46582466,-0.45100713,-0.20212735,-1.1126189,-0.0971768,0.080824845,0.25896037,-0.9000663,-1.1136929,-0.2075757,-0.86903125,-0.6152455,0.10989873,-1.265608,-0.9139484,0.34024343,-0.87150663,0.6596576,-0.16527884,0.39677772,-0.6451947,-0.6578661,-0.83642435,-0.85745466,-0.9961212,-0.8038457,0.27402988,-1.0121934,-0.7886685
-0.84703404,-0.6881969,-1.003496,0.16828786,0.512233,0.40004104,-0.26778227,0.21601468,0.517763,0.347086,1.0520073,0.113420896,-0.7229693,-0.2591379,0.67098457,-0.39104876,0.45031753,0.35029402,0.28907508,-1.0719851,-0.8926572,-0.3278327,-0.36687773,-0.015962726,-0.588411,-0.613103,0.32624328,-0.3536139,0.33892465,-0.05528603,0.13088164,-0.22163053,-0.782869,-0.19629423,0.34928593,0.03272897,-0.09816047,0.40834928,0.20811954,0.5056668,0.6785903,-0.71370935,-0.53264153,-0.5490238,-0.83292276,-0.23450069,-0.70046914,-0.970001,-1.0060512,0.654708,-0.26262295,-1.278441,0.038479537,-1.0549788,-0.3573795,0.19326647,0.1766348,-1.7675971,-1.4808981,-0.9569699,-0.653619,-0.68367195,0.3702585,-0.68442184,-0.16957076,-0.96015775,-0.38590544,-0.11792227,0.15916009,-0.97621864,-0.983518,-0.19581918,-0.6442035,-0.5412816,0.39093965,-1.1845944,-1.055392,0.3044155,-0.75746757,0.58004504,-0.025625587,0.57354045,-0.57708514,-0.60862833,-0.8117238,-0.74151427,-0.88049054,-0.776307,0.36501414,-0.98732567,-0.94192994
-0.70457107,-0.8016516,-0.9994225,-0.20536532,0.5078798,0.08882386,-0.4535376,0.03424141,0.45927835,0.1904879,0.8281611,0.07021181,-0.7251196,-0.33549225,0.65803826,-0.43399617,0.34386298,0.11810104,0.101198874,-0.98357254,-0.9517466,-0.36089242,-0.3055187,-0.0613551,-0.49290285,-0.52658796,0.30979985,-0.24048758,0.48467648,-0.06822204,-0.17923354,-0.11365372,-0.70980877,-0.43211803,0.03800935,-0.14876884,-0.3910511,0.45790115,0.22679992,0.40705523,0.7674197,-0.6284986,-0.44656748,-0.497148,-0.7312681,-0.17086641,-0.5817265,-0.88181156,-0.81455904,0.6163616,-0.17585807,-1.1032927,0.2177614,-0.99390686,-0.39993966,0.2989558,0.098660834,-1.8589476,-1.2794508,-0.87830114,-0.8117071,-0.80174685,0.21730563,-0.8151344,-0.06483339,-0.78601825,-0.6299492,-0.25584567,0.12487373,-1.0951118,-0.94174117,-0.28430852,-0.47336558,-0.46915984,0.6932872,-1.1769406,-1.1709031,0.26441202,-0.6355871,0.3864949,0.09989697,0.71395785,-0.53654355,-0.59474474,-0.7192597,-0.6665987,-0.7706685,-0.67171955,0.42874333,-0.9340941,-0.9535869
-0.57620555,-0.9607267,-0.9682523,-0.6467756,0.47736824,-0.3063611,-0.71845865,-0.24282433,0.29870453,-0.037137624,0.55458987,-0.018429944,-0.6881011,-0.42411762,0.6410782,-0.46773642,0.27704307,-0.18201949,-0.10445714,-0.8991445,-0.96351874,-0.3493321,-0.1905457,-0.10188596,-0.44162172,-0.46695092,0.32936695,-0.121345304,0.5388444,-0.09913214,-0.5404381,-0.031775985,-0.5880622,-0.6232949,-0.29089496,-0.35095432,-0.61723554,0.49077618,0.26893422,0.21310912,0.749963,-0.5779525,-0.3458362,-0.48558876,-0.6073578,-0.10116884,-0.4881053,-0.7707392,-0.50560623,0.51784486,-0.08362692,-0.83847123,0.4184583,-0.9223255,-0.3544296,0.49394774,0.044468947,-1.8562824,-1.0625844,-0.7966911,-0.9495564,-0.9246024,0.015193842,-0.8346048,0.09586843,-0.5961921,-0.78844506,-0.32220888,0.13850965,-1.1932286,-0.95013565,-0.4179164,-0.3381329,-0.38377059,0.9646614,-1.1951947,-1.1910089,0.22021852,-0.4931627,0.12301319,0.18788025,0.7839251,-0.51505464,-0.6022991,-0.56312287,-0.6107332,-0.6513865,-0.50256974,0.46863842,-0.83881235,-0.8568044
-0.45579538,-1.0689478,-0.87655675,-1.0436363,0.41927433,-0.6808102,-0.9668279,-0.5436515,0.06657836,-0.2771851,0.26967534,-0.10561916,-0.58026063,-0.46415138,0.59514415,-0.44476604,0.25863612,-0.45278394,-0.26461744,-0.75647736,-0.8823282,-0.27919373,-0.014122427,-0.11028768,-0.36376074,-0.38131917,0.34767556,0.02476876,0.5231297,-0.093478106,-0.82908356,0.058895115,-0.38360307,-0.7047939,-0.5460733,-0.47032395,-0.72658175,0.49569157,0.3259503,-0.024440516,0.63626933,-0.52166235,-0.23365046,-0.45837903,-0.4404752,-0.028277325,-0.37761953,-0.6058779,-0.12712322,0.4031644,0.003929279,-0.52072376,0.56387126,-0.80441964,-0.27249068,0.6844416,-0.0033630403,-1.7453585,-0.8216486,-0.7137053,-1.029615,-1.0029708,-0.20380303,-0.75405973,0.28077993,-0.4051213,-0.826929,-0.33035192,0.16078126,-1.2022058,-0.93932813,-0.5227929,-0.20520766,-0.26616812,1.1552105,-1.1586382,-1.0438459,0.1722693,-0.30352694,-0.14608194,0.22734602,0.7556628,-0.48237842,-0.5919632,-0.35332927,-0.5281886,-0.4923075,-0.285022,0.47795776,-0.68299806,-0.6999732
-0.3358473,-1.0284071,-0.7029555,-1.28365,0.32462582,-0.9305961,-1.107744,-0.7879689,-0.19039987,-0.4765613,-0.007251809,-0.15248209,-0.3712668,-0.40262404,0.48715174,-0.32281643,0.2778908,-0.6212547,-0.32165495,-0.4976122,-0.6769647,-0.15662837,0.21213499,-0.079820685,-0.1992045,-0.2294017,0.31754798,0.21306007,0.4703448,-0.010215966,-0.9385308,0.18499751,-0.075101435,-0.629413,-0.66345155,-0.4242706,-0.6899154,0.46982324,0.3865651,-0.24984346,0.4472478,-0.403188,-0.11259927,-0.35457093,-0.20844883,0.0434689,-0.20864157,-0.35476732,0.26239964,0.29517165,0.079511724,-0.17968234,0.58711296,-0.6067881,-0.21119782,0.7701815,-0.074325874,-1.5210936,-0.54273224,-0.63230485,-1.0162002,-0.9922664,-0.39946726,-0.604895,0.4426113,-0.22847809,-0.7242745,-0.31526864,0.14291357,-1.0716388,-0.8431138,-0.5346023,-0.047909547,-0.10291032,1.2263923,-0.9865761,-0.6929954,0.112767436,-0.04247946,-0.36168247,0.222759,0.6167469,-0.39319196,-0.51404846,-0.106252134,-0.36955225,-0.26631886,-0.03219528,0.4354844,-0.45267028,-0.5266573
-0.21545574,-0.77830255,-0.450108,-1.2897632,0.18948013,-0.9926456,-1.0802708,-0.90347517,-0.4166534,-0.5977215,-0.27284527,-0.15067825,-0.04880948,-0.22580743,0.28329864,-0.08791364,0.29720765,-0.6627407,-0.24163835,-0.0990623,-0.34516296,-0.0073407153,0.45398504,-0.031821854,0.064722635,-0.0043844376,0.2048299,0.44072473,0.40752748,0.15186657,-0.825022,0.3443231,0.3279951,-0.39192563,-0.63329077,-0.19156682,-0.5132973,0.41839895,0.44017085,-0.4245052,0.20836562,-0.18031655,0.016378682,-0.1404794,0.09399232,0.10337305,0.032925498,-0.004905898,0.60699683,0.18703902,0.132928,0.16625544,0.45950297,-0.31739572,-0.21202117,0.6799953,-0.20363644,-1.1884753,-0.20563312,-0.5352986,-0.87800384,-0.8713588,-0.54518324,-0.42788893,0.52514833,-0.06938238,-0.47837815,-0.31338796,0.052201293,-0.7841429,-0.6369851,-0.4201416,0.13870098,0.104909986,1.1583498,-0.6367203,-0.16530079,0.025343087,0.29031748,-0.4953308,0.18792866,0.37397873,-0.20691851,-0.3336127,0.15549964,-0.10950841,0.028724886,0.24361302,0.31245625,-0.1500983,-0.36540303
