AAL3_20,AAL3_21,AAL3_22,AAL3_23,AAL3_40,AAL3_41,AAL3_42,AAL3_43,AAL3_44,AAL3_45,AAL3_70,AAL3_71,AAL3_72,AAL3_73,AAL3_90,AAL3_91
-0.6794935,0.10491635,-1.863926,-1.2933881,-0.11530223,1.7957351,1.0202706,1.2363132,-0.3278962,0.65110034,-1.2621222,-1.400407,0.85132045,0.30334944,-1.0534897,-1.3794286
-0.3691493,0.27237174,-1.8863156,-1.3873475,-0.10068048,1.4221306,0.5680841,0.7494281,-0.40709206,0.4572159,-1.1331292,-1.1194841,0.49364853,0.075621955,-1.0542115,-1.2357032
-0.046562076,0.42539674,-1.8454403,-1.4326452,-0.10185088,0.99769557,0.112141855,0.2525434,-0.37322983,0.29063585,-0.9528541,-0.8147987,0.14995754,-0.13857701,-1.049431,-1.0441775
0.24535511,0.5290713,-1.7078315,-1.3944572,-0.13987972,0.5329637,-0.32486385,-0.23004209,-0.23205678,0.14206812,-0.72209096,-0.50867176,-0.1532309,-0.31663033,-1.0269792,-0.79235023
0.4545342,0.54596925,-1.4491353,-1.2438548,-0.22497422,0.054984264,-0.7152962,-0.66262484,-0.015072791,-0.00083455414,-0.45173407,-0.23138283,-0.383005,-0.43192616,-0.97504765,-0.47527525
0.5322114,0.44701183,-1.069404,-0.9727635,-0.34572044,-0.39426115,-1.0300379,-1.0041598,0.22802001,-0.14830735,-0.16200167,-0.012873694,-0.5065103,-0.45968452,-0.88538086,-0.101996854
0.44798088,0.22219153,-0.6034709,-0.6056025,-0.46738982,-0.76939154,-1.2442739,-1.223004,0.44778886,-0.30427414,0.12352324,0.12957615,-0.5022241,-0.38533312,-0.75436306,0.30229267
0.2015913,-0.113996394,-0.11706794,-0.19861503,-0.5449934,-1.0396445,-1.3443999,-1.3148179,0.6134481,-0.46659958,0.38657972,0.2012406,-0.3716594,-0.21172631,-0.58097315,0.7010258
-0.17201072,-0.5239573,0.31287134,0.17574246,-0.5459159,-1.2025373,-1.3334856,-1.3112913,0.7185221,-0.63146585,0.61989695,0.23045968,-0.1441725,0.03921744,-0.3640593,1.055318
-0.60482556,-0.9525254,0.6240041,0.4520688,-0.468365,-1.283453,-1.2325975,-1.2702944,0.77260333,-0.7973713,0.82562214,0.25839934,0.12970336,0.33177674,-0.1032082,1.3313078
-1.0059701,-1.3339641,0.78666407,0.5913239,-0.34476113,-1.3217521,-1.077009,-1.2511935,0.7897108,-0.96502405,1.0078667,0.3234509,0.393887,0.625379,0.19524233,1.5026323
-1.2812625,-1.600702,0.8069062,0.58872724,-0.22961125,-1.3532733,-0.9085773,-1.290517,0.7820659,-1.13421,1.1649985,0.4477104,0.6036996,0.8824725,0.5105886,1.5503889
-1.3587832,-1.6946551,0.7171841,0.47012895,-0.17887984,-1.398951,-0.76647943,-1.3919703,0.7577225,-1.3015264,1.2869239,0.6302851,0.7370188,1.0729547,0.80475074,1.464465
-1.2098604,-1.5794519,0.5627236,0.2814528,-0.22904372,-1.4623222,-0.6781497,-1.5330937,0.7162064,-1.4610012,1.3590086,0.84859437,0.79639864,1.175915,1.028127,1.2469057
-0.8546324,-1.2498616,0.39018634,0.0763514,-0.38254458,-1.5329822,-0.6524018,-1.6800233,0.6426899,-1.6060925,1.3704051,1.0664574,0.8023715,1.1801653,1.1334958,0.914682
-0.35044575,-0.7354471,0.24020171,-0.095057845,-0.60453534,-1.5922828,-0.67757833,-1.7999854,0.5089776,-1.7300572,1.3220562,1.2460539,0.78040653,1.0838398,1.0922011,0.49918577
0.22789149,-0.09777346,0.14193444,-0.19588383,-0.8326594,-1.619121,-0.7267369,-1.8667232,0.28793922,-1.8228508,1.2293097,1.35937,0.7461891,0.8929055,0.90521896,0.042121314
0.80404884,0.5777018,0.108711,-0.21006127,-0.99677783,-1.594161,-0.76802945,-1.8600272,-0.02361865,-1.8654276,1.1164083,1.3945094,0.6954343,0.619459,0.6044905,-0.41052756
1.3070421,1.1935558,0.13670704,-0.14514205,-1.0412586,-1.5007281,-0.7744715,-1.7627316,-0.3898802,-1.825461,1.0045265,1.3544011,0.6033423,0.28125355,0.24493164,-0.81435037
1.6734047,1.6554389,0.20921895,-0.026875896,-0.94132173,-1.3227156,-0.72783,-1.5582021,-0.7437777,-1.6603022,0.8992082,1.2493397,0.43470234,-0.09753816,-0.10889848,-1.1308826
1.8529317,1.8898886,0.3054135,0.11383695,-0.7078524,-1.043739,-0.6167167,-1.2311134,-1.0172257,-1.3309441,0.7841622,1.0881002,0.1607962,-0.4863977,-0.397016,-1.3303024
1.8211282,1.8626525,0.4082669,0.25460577,-0.38033623,-0.6528407,-0.43401542,-0.77378696,-1.175554,-0.82403725,0.6253411,0.87272096,-0.22383344,-0.8516078,-0.5758258,-1.3930392
1.5919749,1.5913424,0.50672674,0.3866999,-0.012032887,-0.15691599,-0.17836972,-0.1972837,-1.2326903,-0.17120443,0.38387308,0.59932154,-0.6921189,-1.1624274,-0.6251621,-1.3110816
1.2196926,1.1443659,0.5924036,0.50870234,0.34705445,0.40793383,0.14096408,0.45876637,-1.2362423,0.5475902,0.032200716,0.2637425,-1.1876655,-1.3976443,-0.54905486,-1.0894659
0.7832543,0.622374,0.65606487,0.61545134,0.6649092,0.97672313,0.50150704,1.126351,-1.2321645,1.2232524,-0.43288797,-0.13105655,-1.6402338,-1.5492302,-0.37045684,-0.7479073
0.35904634,0.12776774,0.6886092,0.6930904,0.93636924,1.4716649,0.87205493,1.7237399,-1.2317628,1.7531968,-0.98416793,-0.568517,-1.9872305,-1.6214901,-0.122273475,-0.3218452
-0.0041442458,-0.26472747,0.6858469,0.7251496,1.1821736,1.8269175,1.2227615,2.1793103,-1.2012999,2.0765457,-1.5655899,-1.0147233,-2.191673,-1.6265444,0.16207792,0.1387133
-0.2948416,-0.5240159,0.6522486,0.7044502,1.4349432,2.0085104,1.5330571,2.4519284,-1.0800471,2.1911933,-2.1009126,-1.4194021,-2.2494292,-1.5786338,0.45609656,0.57470036
-0.5300005,-0.6607379,0.60003704,0.6407713,1.714339,2.0195844,1.7904199,2.5375512,-0.81627995,2.1452043,-2.508663,-1.7241623,-2.184856,-1.4899158,0.7443759,0.9289105
-0.73466754,-0.71214086,0.54453176,0.5582091,2.0029767,1.8911152,1.9816388,2.4618604,-0.40128976,2.0093985,-2.72203,-1.8785304,-2.0392334,-1.3691986,1.0230987,1.1601199
-0.92179894,-0.72248274,0.49933612,0.4842585,2.2400997,1.6663396,2.0867631,2.267206,0.11686263,1.8468447,-2.709476,-1.8592973,-1.8572127,-1.2230283,1.2970115,1.2544535
-1.081418,-0.7264412,0.47376034,0.43784475,2.343317,1.3879142,2.084882,2.0017517,0.6466442,1.6934435,-2.4885051,-1.6839308,-1.6742884,-1.0569243,1.5739249,1.227385
-1.1823343,-0.73934597,0.47243175,0.4231429,2.2510118,1.0919734,1.969788,1.7124095,1.0853326,1.5549508,-2.1249158,-1.4093435,-1.5069366,-0.8746574,1.8587224,1.1141677
-1.1840366,-0.7549269,0.4963102,0.43202132,1.9616346,0.80805933,1.7630152,1.4393054,1.3529127,1.4172461,-1.715133,-1.114497,-1.3479638,-0.6754588,2.1490831,0.9536718
-1.0532167,-0.7495362,0.5448362,0.45327955,1.5446692,0.56162643,1.5123631,1.2114632,1.4122882,1.262929,-1.35758,-0.8744327,-1.1703358,-0.45144477,2.4342823,0.77503103
