b'7Networks_LH_Default_Temp_1',b'7Networks_LH_Default_Temp_2',b'7Networks_LH_Default_Temp_3',b'7Networks_LH_Default_Temp_4',b'7Networks_LH_Default_Temp_5',b'7Networks_LH_Default_Temp_6',b'7Networks_LH_Default_Temp_7',b'7Networks_LH_Default_Temp_8',b'7Networks_LH_Default_Temp_9',b'7Networks_LH_Default_Temp_10',b'7Networks_LH_Default_Par_1',b'7Networks_LH_Default_Par_2',b'7Networks_LH_Default_Par_3',b'7Networks_LH_Default_Par_4',b'7Networks_LH_Default_Par_5',b'7Networks_LH_Default_Par_6',b'7Networks_LH_Default_Par_7',b'7Networks_LH_Default_PFC_1',b'7Networks_LH_Default_PFC_2',b'7Networks_LH_Default_PFC_3',b'7Networks_LH_Default_PFC_4',b'7Networks_LH_Default_PFC_5',b'7Networks_LH_Default_PFC_6',b'7Networks_LH_Default_PFC_7',b'7Networks_LH_Default_PFC_8',b'7Networks_LH_Default_PFC_9',b'7Networks_LH_Default_PFC_10',b'7Networks_LH_Default_PFC_11',b'7Networks_LH_Default_PFC_12',b'7Networks_LH_Default_PFC_13',b'7Networks_LH_Default_PFC_14',b'7Networks_LH_Default_PFC_15',b'7Networks_LH_Default_PFC_16',b'7Networks_LH_Default_PFC_17',b'7Networks_LH_Default_PFC_18',b'7Networks_LH_Default_PFC_19',b'7Networks_LH_Default_PFC_20',b'7Networks_LH_Default_PFC_21',b'7Networks_LH_Default_PFC_22',b'7Networks_LH_Default_PFC_23',b'7Networks_LH_Default_PFC_24',b'7Networks_LH_Default_pCunPCC_1',b'7Networks_LH_Default_pCunPCC_2',b'7Networks_LH_Default_pCunPCC_3',b'7Networks_LH_Default_pCunPCC_4',b'7Networks_LH_Default_pCunPCC_5',b'7Networks_LH_Default_pCunPCC_6',b'7Networks_LH_Default_pCunPCC_7',b'7Networks_LH_Default_pCunPCC_8',b'7Networks_LH_Default_pCunPCC_9',b'7Networks_LH_Default_pCunPCC_10',b'7Networks_LH_Default_pCunPCC_11',b'7Networks_RH_Default_Par_1',b'7Networks_RH_Default_Par_2',b'7Networks_RH_Default_Par_3',b'7Networks_RH_Default_Par_4',b'7Networks_RH_Default_Par_5',b'7Networks_RH_Default_Temp_1',b'7Networks_RH_Default_Temp_2',b'7Networks_RH_Default_Temp_3',b'7Networks_RH_Default_Temp_4',b'7Networks_RH_Default_Temp_5',b'7Networks_RH_Default_Temp_6',b'7Networks_RH_Default_Temp_7',b'7Networks_RH_Default_Temp_8',b'7Networks_RH_Default_PFCv_1',b'7Networks_RH_Default_PFCv_2',b'7Networks_RH_Default_PFCv_3',b'7Networks_RH_Default_PFCv_4',b'7Networks_RH_Default_PFCdPFCm_1',b'7Networks_RH_Default_PFCdPFCm_2',b'7Networks_RH_Default_PFCdPFCm_3',b'7Networks_RH_Default_PFCdPFCm_4',b'7Networks_RH_Default_PFCdPFCm_5',b'7Networks_RH_Default_PFCdPFCm_6',b'7Networks_RH_Default_PFCdPFCm_7',b'7Networks_RH_Default_PFCdPFCm_8',b'7Networks_RH_Default_PFCdPFCm_9',b'7Networks_RH_Default_PFCdPFCm_10',b'7Networks_RH_Default_PFCdPFCm_11',b'7Networks_RH_Default_PFCdPFCm_12',b'7Networks_RH_Default_PFCdPFCm_13',b'7Networks_RH_Default_pCunPCC_1',b'7Networks_RH_Default_pCunPCC_2',b'7Networks_RH_Default_pCunPCC_3',b'7Networks_RH_Default_pCunPCC_4',b'7Networks_RH_Default_pCunPCC_5',b'7Networks_RH_Default_pCunPCC_6',b'7Networks_RH_Default_pCunPCC_7',b'7Networks_RH_Default_pCunPCC_8',b'7Networks_RH_Default_pCunPCC_9'
-0.31057116,-2.2154522,-2.1674476,0.3756668,1.2315953,-1.1718813,-0.18849401,1.8882546,0.6478873,1.0990767,-0.87848437,-1.1024122,-0.7719567,-2.4813519,-0.37969524,-1.3830361,-0.6693404,0.17930728,1.3792593,-1.9038639,-1.4994751,0.22551322,-0.86337614,0.7224296,-1.4784491,-1.9126991,1.6879488,-0.39231637,-0.43818372,-0.9535161,-0.8894014,-1.6287236,-0.3631052,0.4485224,-0.10808379,-0.44946772,-0.78643095,1.1405522,0.13983442,-0.3237127,0.0066709975,-1.5051683,-1.6811694,-2.2490094,-2.5927775,-2.7092206,-2.4699628,-2.6179016,-1.5356286,1.1559485,-2.2621708,-1.0601839,-0.36911663,-1.9510409,-0.8860278,0.029682057,-0.9859774,-0.7572875,-1.7611747,0.6190655,-0.9788273,0.40164253,0.15693992,0.27765518,-1.28303,0.5434035,-0.19125314,0.6440973,1.7774513,-0.87353194,-0.7000216,-1.1991285,-1.1073692,0.2925693,1.3591256,-0.3151311,-1.2080222,1.1911287,0.45919144,-0.15871574,0.06721367,0.7063963,-2.2607718,-2.2115254,-2.309578,-2.1457596,-2.3506858,-1.4618112,0.14391445,-1.2032757,0.096745834
-0.438094,-1.8042158,-1.946521,0.13896845,1.1363269,-0.89835143,-0.25262463,1.523136,0.6482399,0.9926934,-0.6230992,-0.8588551,-0.52779156,-2.1742094,-0.065168776,-1.4318292,-0.6457079,0.2906745,1.3062615,-1.9176188,-1.5453646,0.3015124,-0.6933004,0.84206253,-1.2000216,-1.5831559,1.6389048,-0.41838664,0.17886107,-0.5882476,-0.82369405,-1.4067426,-0.45094264,0.22850394,0.10610629,-0.50999224,-0.7394974,1.1035279,0.16451818,0.04325729,0.20312823,-1.3898684,-1.4609396,-2.0866735,-2.3538876,-2.2579145,-2.174719,-2.2472503,-1.2626562,1.3242201,-2.0232615,-0.89400774,-0.19625595,-1.5762058,-0.66515625,0.1786256,-0.8353258,-0.7408341,-1.6217958,0.5921621,-1.0681485,0.57151866,0.24492578,0.29090294,-1.0682187,0.64529026,0.0045483983,0.68910635,1.7073205,-0.99322975,-0.7229816,-1.0029432,-0.8464035,0.35853484,1.4421912,-0.04634645,-1.0066432,1.4228255,0.5748888,-0.06862227,0.1338791,0.8488747,-1.8515801,-1.8641828,-1.8522292,-1.8983757,-1.949408,-0.96016973,0.59856325,-0.93555665,0.21702334
-0.583803,-1.3804973,-1.6739901,-0.12190273,1.059347,-0.58520424,-0.27863404,1.1032804,0.63930225,0.8660892,-0.39418787,-0.63399357,-0.27528146,-1.8532878,0.1957742,-1.488114,-0.6502056,0.41609174,1.1993803,-1.866326,-1.5053052,0.38105536,-0.5169866,0.94197476,-0.8887126,-1.2039152,1.5261395,-0.41988,0.74320394,-0.21723786,-0.74727774,-1.1412407,-0.5461305,-0.022084266,0.3610573,-0.56559676,-0.68738157,1.0286828,0.15971786,0.4422333,0.4097215,-1.239314,-1.2036369,-1.8745964,-2.068604,-1.7713099,-1.8384416,-1.8409218,-0.9934643,1.443818,-1.7348334,-0.72858703,-0.0048935665,-1.176943,-0.47280362,0.2827619,-0.69963396,-0.7254377,-1.4610349,0.5569665,-1.1305159,0.72659326,0.43925598,0.2736201,-0.7977371,0.7427826,0.20351586,0.73051065,1.5904515,-1.045691,-0.7599447,-0.76214695,-0.5788193,0.41754588,1.4844041,0.24487422,-0.7787258,1.6285497,0.6657838,0.019105358,0.17595752,0.98866284,-1.3934366,-1.5097499,-1.3664418,-1.6068028,-1.5022906,-0.48024035,0.9717494,-0.6757199,0.30365366
-0.74627143,-0.976038,-1.3561689,-0.40607566,0.9786189,-0.29329282,-0.300421,0.6158347,0.5812906,0.69633406,-0.2373543,-0.44096985,-0.02729811,-1.529123,0.357754,-1.5166034,-0.65751123,0.5272496,1.0615822,-1.7141682,-1.3487728,0.4400886,-0.3461948,0.9828745,-0.5680537,-0.80166095,1.3472358,-0.39770767,1.1927994,0.1106547,-0.66038823,-0.83526146,-0.61554384,-0.26617265,0.6216175,-0.5888572,-0.61186284,0.93513757,0.13983579,0.8364961,0.59832865,-1.0511264,-0.9195583,-1.608898,-1.7353984,-1.2759746,-1.4758242,-1.416602,-0.72913194,1.4606886,-1.4036949,-0.58503544,0.172933,-0.77773374,-0.33109018,0.3355593,-0.5781935,-0.7112754,-1.2716902,0.50409096,-1.1571568,0.82949764,0.6914476,0.22250351,-0.51578915,0.79609156,0.38634437,0.74519134,1.405125,-0.9928402,-0.80883574,-0.49785826,-0.33815974,0.43638918,1.4577632,0.5153342,-0.53684443,1.7475007,0.7046442,0.10116573,0.18628837,1.0918174,-0.91662586,-1.172063,-0.8894825,-1.2863766,-1.0376112,-0.06424315,1.2002542,-0.45646778,0.33113027
-0.917467,-0.624839,-1.0075144,-0.70399123,0.86437833,-0.08940054,-0.35075256,0.06603733,0.4428171,0.47329333,-0.19217493,-0.29003048,0.20170237,-1.213997,0.37762126,-1.4749994,-0.6337377,0.58847433,0.90017647,-1.4355052,-1.0583214,0.4487695,-0.19667776,0.92307353,-0.27051303,-0.41348675,1.1013479,-0.3596626,1.4727488,0.3378679,-0.5668344,-0.5011938,-0.6186597,-0.46003902,0.83714676,-0.54969937,-0.49430203,0.84667,0.12947446,1.1735525,0.73300403,-0.8245895,-0.6221866,-1.291499,-1.3559699,-0.8039154,-1.1101248,-0.9979716,-0.46669856,1.3267984,-1.0433613,-0.4841679,0.29473433,-0.4092417,-0.25688672,0.33836436,-0.46629333,-0.70019037,-1.0478574,0.42741787,-1.1405804,0.8376938,0.9254711,0.13851875,-0.27457556,0.760215,0.53247,0.7044455,1.1311219,-0.80853367,-0.86395115,-0.24138959,-0.1619609,0.38295898,1.3397986,0.71109504,-0.29509014,1.7095543,0.6663601,0.17647919,0.16707973,1.1194386,-0.45669794,-0.872683,-0.46280268,-0.95889837,-0.5948183,0.25166354,1.2395706,-0.30995473,0.27511454
-1.0810008,-0.35199785,-0.648978,-0.9922601,0.68906,-0.021178422,-0.4455384,-0.5120197,0.21930747,0.20952706,-0.27338985,-0.18506251,0.39978945,-0.91867244,0.23108046,-1.326309,-0.5464738,0.56723595,0.7269534,-1.0319841,-0.6429218,0.381018,-0.08593303,0.73267585,-0.03289739,-0.07940918,0.7862139,-0.32147986,1.5571734,0.41325733,-0.47530738,-0.16217868,-0.5192182,-0.56579936,0.95012105,-0.42663527,-0.32173797,0.78347677,0.1572438,1.3950672,0.7774842,-0.561298,-0.32430816,-0.93224335,-0.9369245,-0.38250038,-0.76793104,-0.6086538,-0.19885932,1.021687,-0.6708514,-0.43612283,0.31764,-0.10149543,-0.25410497,0.3025161,-0.3556721,-0.69623274,-0.7889766,0.3272142,-1.0773141,0.7166678,1.0601466,0.028112078,-0.11544108,0.5998984,0.62607425,0.58082354,0.75703555,-0.49499083,-0.91727287,-0.028842047,-0.081710845,0.24029186,1.1269763,0.7803335,-0.06659615,1.456409,0.53910345,0.24574949,0.1348275,1.0404202,-0.04406087,-0.6222669,-0.11764097,-0.64809805,-0.21638812,0.45332983,1.0880394,-0.25650418,0.12374464
-1.2144487,-0.16347988,-0.30296808,-1.2342527,0.43890715,-0.0948578,-0.5756943,-1.0567155,-0.057099093,-0.06055122,-0.45716712,-0.12177726,0.56148034,-0.6484459,-0.07138866,-1.0526168,-0.37673923,0.4470304,0.55734617,-0.54389787,-0.14530133,0.22754231,-0.028900705,0.40859407,0.110634685,0.16755497,0.3989337,-0.3047403,1.4637226,0.30963677,-0.39836183,0.1509671,-0.3001572,-0.5628838,0.91128165,-0.21774918,-0.09102709,0.7540335,0.24399133,1.4541355,0.7055834,-0.26599672,-0.034373935,-0.549047,-0.49164093,-0.023839425,-0.4701616,-0.26458555,0.083044104,0.5678866,-0.30165225,-0.43106976,0.21270865,0.124867424,-0.3100354,0.24741001,-0.23682757,-0.70524573,-0.50382304,0.2095084,-0.9718026,0.4551015,1.0419121,-0.097251944,-0.051982142,0.3055971,0.66134197,0.35747755,0.2877267,-0.09232502,-0.9615633,0.10669572,-0.113116525,0.017018043,0.8433328,0.6896749,0.13719453,0.9672224,0.33290067,0.30916172,0.11884248,0.8457998,0.30562124,-0.41501418,0.13872461,-0.3738107,0.0641882,0.55799276,0.7958164,-0.29551613,-0.11105135
-1.2958527,-0.043647036,0.0137850065,-1.3902738,0.12034556,-0.27109072,-0.7145378,-1.49773,-0.32636005,-0.29489768,-0.68307376,-0.08818011,0.68885946,-0.4002633,-0.47876945,-0.6628203,-0.12625358,0.23589526,0.40822148,-0.04492798,0.36358768,0.0062155616,-0.032668345,-0.017402604,0.13712426,0.30973887,-0.056032643,-0.33036658,1.2484776,0.035916883,-0.34736282,0.40826926,0.025242152,-0.451226,0.6979297,0.056250118,0.1913907,0.75153273,0.39047188,1.3337913,0.5112308,0.05307223,0.2444704,-0.16466784,-0.04084582,0.27930424,-0.22344433,0.030963307,0.38211846,0.027499724,0.053360477,-0.43847838,-0.023401704,0.26526058,-0.39979056,0.192934,-0.103033364,-0.733152,-0.21194701,0.080416165,-0.83966607,0.07322844,0.8688782,-0.22414687,-0.06826164,-0.09864098,0.64316213,0.036164504,-0.2520259,0.32765484,-0.99308133,0.14230864,-0.2511891,-0.25424036,0.53482777,0.43713018,0.30513066,0.27599993,0.078380145,0.36395383,0.15001723,0.5560048,0.5944753,-0.2307125,0.32675833,-0.14712067,0.23334967,0.60758036,0.44647953,-0.40380397,-0.3900981
-1.3102653,0.037238132,0.2962841,-1.4336209,-0.24164386,-0.48169202,-0.8344633,-1.7839471,-0.5249179,-0.46223775,-0.872756,-0.06622073,0.78891987,-0.16258807,-0.9089265,-0.19059764,0.1829201,-0.033569027,0.2942088,0.38144726,0.8026601,-0.23660927,-0.092292614,-0.4823636,0.044511423,0.34960353,-0.5552507,-0.40865564,0.98192036,-0.36065897,-0.32426038,0.5917551,0.41217613,-0.24598044,0.3296018,0.3597728,0.5119125,0.75586706,0.5718677,1.0583943,0.21536258,0.38496965,0.5121941,0.199697,0.39003554,0.5477229,-0.016926924,0.28684735,0.6875648,-0.52098083,0.38605437,-0.41788197,-0.36563897,0.3324099,-0.49723145,0.14809008,0.045007132,-0.78306437,0.058963303,-0.061019756,-0.707014,-0.38166094,0.5895306,-0.34260324,-0.13417837,-0.559868,0.58220375,-0.35971132,-0.8204253,0.68282217,-1.0108026,0.07057101,-0.47058478,-0.5306836,0.24914293,0.05638564,0.42500007,-0.52910316,-0.18539773,0.40452832,0.24327528,0.21513678,0.83784014,-0.04372973,0.4851507,0.032486662,0.3027457,0.64714485,0.119313635,-0.54114866,-0.6559325
-1.2512207,0.11048655,0.5525927,-1.3616565,-0.60873944,-0.6536423,-0.9167691,-1.9018873,-0.60960174,-0.5509921,-0.954198,-0.033645853,0.8687939,0.081084296,-1.2694727,0.31399167,0.51288867,-0.310831,0.22344652,0.6720714,1.1029218,-0.43622026,-0.18971692,-0.90607005,-0.13975304,0.31151512,-1.0514349,-0.53002846,0.72148895,-0.80131507,-0.31486097,0.70332146,0.79413146,0.028339963,-0.12622361,0.65501446,0.8495926,0.7386104,0.74358374,0.69236755,-0.13226095,0.7172089,0.7683169,0.5311296,0.7768643,0.8041032,0.17328647,0.5188559,0.96995866,-1.0111917,0.68580586,-0.33535698,-0.76674473,0.35205483,-0.58486676,0.10183965,0.19584167,-0.8517294,0.27905354,-0.22469586,-0.603717,-0.8497206,0.27798975,-0.45161137,-0.22383596,-1.0094594,0.48779428,-0.787922,-1.3673315,0.90622646,-1.0112513,-0.095817775,-0.7280611,-0.77545494,0.013757184,-0.38833115,0.4848933,-1.3238823,-0.426112,0.4255719,0.38381875,-0.12481454,1.0561595,0.16684632,0.6545595,0.17804092,0.3073839,0.70207626,-0.14225371,-0.6581482,-0.8501517
