AAL3_20,AAL3_21,AAL3_22,AAL3_23,AAL3_40,AAL3_41,AAL3_42,AAL3_43,AAL3_44,AAL3_45,AAL3_70,AAL3_71,AAL3_72,AAL3_73,AAL3_90,AAL3_91
0.5687573,-0.79337096,-0.67997205,-1.7940277,-0.05764754,0.2600566,0.53626966,0.14333893,-0.16597642,-0.37016445,-0.2764999,-0.512577,-0.48604402,0.13318582,-0.72276914,0.018646259
0.34978455,-0.7188565,-0.52173,-1.4108135,-0.31856945,0.034008894,0.24774669,-0.055959355,-0.080951095,-0.31816143,-0.28356925,-0.34289965,-0.1917042,0.31120056,-0.7615594,-0.20432091
0.084987506,-0.5992356,-0.38165691,-0.9910227,-0.5819025,-0.22327906,-0.024152035,-0.2456442,0.057778656,-0.22642885,-0.24028659,-0.13338315,0.094574414,0.46649835,-0.8035421,-0.43843532
-0.213713,-0.43238285,-0.276621,-0.55351394,-0.81151044,-0.4698608,-0.25310242,-0.4026924,0.24776982,-0.09282233,-0.14590532,0.11101936,0.33829415,0.57016385,-0.84035754,-0.6752463
-0.52045006,-0.22427262,-0.21820039,-0.12859036,-0.9556905,-0.64309967,-0.40576634,-0.4948499,0.48021787,0.08304573,-0.014774149,0.37354508,0.49594876,0.5899164,-0.8558616,-0.89611703
-0.79532045,0.008840243,-0.20411043,0.245761,-0.96170056,-0.6753753,-0.45235312,-0.4900836,0.7382695,0.29547223,0.12274901,0.6248255,0.5256522,0.5003234,-0.8271049,-1.0718359
-0.9915387,0.24078678,-0.21320486,0.532601,-0.8002227,-0.52236795,-0.38205993,-0.373169,0.9958934,0.5269083,0.22817267,0.8285755,0.40479255,0.29642797,-0.7313774,-1.1696857
-1.0701383,0.43863735,-0.21040516,0.70664227,-0.48653552,-0.19004065,-0.21366131,-0.1598447,1.2190199,0.7458143,0.27001655,0.9531269,0.14703883,0.0035128458,-0.558014,-1.1676899
-1.0163859,0.567977,-0.16244133,0.76153964,-0.08209849,0.2584005,0.008437377,0.103803396,1.3706416,0.9129311,0.23809716,0.9829963,-0.1931079,-0.32523903,-0.3179172,-1.0685023
-0.84806144,0.6001902,-0.056201752,0.7106683,0.32728577,0.7221334,0.23125975,0.35891303,1.419141,0.9942512,0.14817467,0.9236686,-0.5344853,-0.62474984,-0.042966045,-0.9026214
-0.6091381,0.52204895,0.092709675,0.5825327,0.6627873,1.0961287,0.41019288,0.55571425,1.3459588,0.9719773,0.034983445,0.7978155,-0.79543644,-0.8392178,0.22527388,-0.71698713
-0.35210854,0.34544113,0.24788857,0.41428962,0.8741481,1.2984748,0.51411486,0.66425246,1.1486067,0.8457553,-0.060906332,0.6370581,-0.9164515,-0.93583786,0.44940338,-0.555339
-0.12046711,0.11101048,0.3717461,0.24555601,0.94323987,1.282264,0.52071166,0.67140454,0.8387841,0.6252623,-0.10521467,0.47443092,-0.86797637,-0.9047623,0.6036449,-0.4415321
0.058040187,-0.120697446,0.44400325,0.11211825,0.87542784,1.0373194,0.41405615,0.5753565,0.43903112,0.322574,-0.07707109,0.3392976,-0.6454458,-0.7502713,0.67370933,-0.37329012
0.16667747,-0.29020053,0.46765596,0.038601425,0.6894852,0.5911563,0.1919853,0.38812724,-0.019068602,-0.048508577,0.029125556,0.25333166,-0.2631274,-0.48406464,0.6553184,-0.3265493
0.1926694,-0.36247933,0.46034494,0.031317208,0.41189817,0.010897254,-0.12245135,0.14355397,-0.49589285,-0.46642715,0.20539933,0.22620232,0.24482626,-0.12698846,0.55669725,-0.26586637
0.1275575,-0.33973768,0.4388945,0.07495268,0.074757546,-0.60121524,-0.478322,-0.102146626,-0.9473667,-0.8953266,0.43319893,0.25161955,0.8193069,0.28453994,0.40296426,-0.15618947
-0.024148995,-0.25663933,0.40808326,0.13648418,-0.28568625,-1.1264095,-0.8096239,-0.28610095,-1.3329505,-1.2844851,0.6857283,0.305807,1.3777653,0.6966489,0.23551351,0.02666476
