b'7Networks_LH_Default_Temp_1',b'7Networks_LH_Default_Temp_2',b'7Networks_LH_Default_Temp_3',b'7Networks_LH_Default_Temp_4',b'7Networks_LH_Default_Temp_5',b'7Networks_LH_Default_Temp_6',b'7Networks_LH_Default_Temp_7',b'7Networks_LH_Default_Temp_8',b'7Networks_LH_Default_Temp_9',b'7Networks_LH_Default_Temp_10',b'7Networks_LH_Default_Par_1',b'7Networks_LH_Default_Par_2',b'7Networks_LH_Default_Par_3',b'7Networks_LH_Default_Par_4',b'7Networks_LH_Default_Par_5',b'7Networks_LH_Default_Par_6',b'7Networks_LH_Default_Par_7',b'7Networks_LH_Default_PFC_1',b'7Networks_LH_Default_PFC_2',b'7Networks_LH_Default_PFC_3',b'7Networks_LH_Default_PFC_4',b'7Networks_LH_Default_PFC_5',b'7Networks_LH_Default_PFC_6',b'7Networks_LH_Default_PFC_7',b'7Networks_LH_Default_PFC_8',b'7Networks_LH_Default_PFC_9',b'7Networks_LH_Default_PFC_10',b'7Networks_LH_Default_PFC_11',b'7Networks_LH_Default_PFC_12',b'7Networks_LH_Default_PFC_13',b'7Networks_LH_Default_PFC_14',b'7Networks_LH_Default_PFC_15',b'7Networks_LH_Default_PFC_16',b'7Networks_LH_Default_PFC_17',b'7Networks_LH_Default_PFC_18',b'7Networks_LH_Default_PFC_19',b'7Networks_LH_Default_PFC_20',b'7Networks_LH_Default_PFC_21',b'7Networks_LH_Default_PFC_22',b'7Networks_LH_Default_PFC_23',b'7Networks_LH_Default_PFC_24',b'7Networks_LH_Default_pCunPCC_1',b'7Networks_LH_Default_pCunPCC_2',b'7Networks_LH_Default_pCunPCC_3',b'7Networks_LH_Default_pCunPCC_4',b'7Networks_LH_Default_pCunPCC_5',b'7Networks_LH_Default_pCunPCC_6',b'7Networks_LH_Default_pCunPCC_7',b'7Networks_LH_Default_pCunPCC_8',b'7Networks_LH_Default_pCunPCC_9',b'7Networks_LH_Default_pCunPCC_10',b'7Networks_LH_Default_pCunPCC_11',b'7Networks_RH_Default_Par_1',b'7Networks_RH_Default_Par_2',b'7Networks_RH_Default_Par_3',b'7Networks_RH_Default_Par_4',b'7Networks_RH_Default_Par_5',b'7Networks_RH_Default_Temp_1',b'7Networks_RH_Default_Temp_2',b'7Networks_RH_Default_Temp_3',b'7Networks_RH_Default_Temp_4',b'7Networks_RH_Default_Temp_5',b'7Networks_RH_Default_Temp_6',b'7Networks_RH_Default_Temp_7',b'7Networks_RH_Default_Temp_8',b'7Networks_RH_Default_PFCv_1',b'7Networks_RH_Default_PFCv_2',b'7Networks_RH_Default_PFCv_3',b'7Networks_RH_Default_PFCv_4',b'7Networks_RH_Default_PFCdPFCm_1',b'7Networks_RH_Default_PFCdPFCm_2',b'7Networks_RH_Default_PFCdPFCm_3',b'7Networks_RH_Default_PFCdPFCm_4',b'7Networks_RH_Default_PFCdPFCm_5',b'7Networks_RH_Default_PFCdPFCm_6',b'7Networks_RH_Default_PFCdPFCm_7',b'7Networks_RH_Default_PFCdPFCm_8',b'7Networks_RH_Default_PFCdPFCm_9',b'7Networks_RH_Default_PFCdPFCm_10',b'7Networks_RH_Default_PFCdPFCm_11',b'7Networks_RH_Default_PFCdPFCm_12',b'7Networks_RH_Default_PFCdPFCm_13',b'7Networks_RH_Default_pCunPCC_1',b'7Networks_RH_Default_pCunPCC_2',b'7Networks_RH_Default_pCunPCC_3',b'7Networks_RH_Default_pCunPCC_4',b'7Networks_RH_Default_pCunPCC_5',b'7Networks_RH_Default_pCunPCC_6',b'7Networks_RH_Default_pCunPCC_7',b'7Networks_RH_Default_pCunPCC_8',b'7Networks_RH_Default_pCunPCC_9'
0.11948964,-1.123175,-2.1732402,-0.63055694,-1.1658494,-1.0375195,-1.7470438,-1.8373687,-0.9103652,-0.057757996,1.1994475,1.00645,-0.09524268,-0.037640896,-0.07682108,-0.21660542,-0.23190296,-0.79153913,0.013559594,0.51773363,-0.24789916,-1.1653715,-0.1950004,-0.37956867,-0.28028864,0.4360285,-0.5402641,-0.2774914,0.36884576,0.6258736,0.5082043,0.083399355,0.81231856,0.52411443,0.7322875,0.40632,0.28268036,0.23882434,-0.17813848,1.008129,0.58961666,-0.4773144,-0.6715599,-0.9328627,-1.2593625,-0.49541232,-1.1156279,-1.5831608,-0.8175436,0.042318225,-0.9150928,-1.8388634,-0.37606713,0.0411502,-0.21703869,0.19862287,0.08327542,-1.0261528,-1.2904623,-1.3831915,-1.0924853,-1.7890418,-0.8318249,-1.2414078,-1.290996,0.3578552,0.33350283,-0.0012964556,0.0440682,0.12816374,-0.012195742,0.59915674,0.29746926,0.13837859,-0.1460644,-0.6472911,0.49237093,-0.011868419,0.2897054,0.41482264,0.46158653,-0.18033585,-0.8447975,-1.1143167,-0.49011362,-0.9802441,-1.1291044,-0.98070395,-0.16091675,-1.4139339,-1.5246178
0.05206712,-1.1131879,-2.0573056,-0.5859536,-1.1169921,-1.055818,-1.6047988,-1.609687,-0.91272116,-0.15959948,0.7901677,0.74621403,-0.26665315,-0.31456402,-0.11329,-0.41710594,-0.3177703,-0.87666965,-0.15667792,0.46512422,-0.22004645,-1.2479573,-0.304317,-0.45704576,-0.5327901,0.26156804,-0.6675913,-0.37378794,0.094937675,0.3126764,0.2848709,-0.0154545475,0.6424289,0.4173487,0.53543985,0.25642928,0.22693767,0.28858674,-0.1367302,1.0068051,0.8066422,-0.5292584,-0.90578103,-1.0684142,-1.3298569,-0.7864105,-1.2272767,-1.5443575,-0.85108966,-0.11763065,-0.9759758,-1.6634252,-0.4117964,-0.097381726,-0.22321126,0.14073898,-0.027593369,-0.874992,-1.2281829,-1.1897672,-0.95811623,-1.5653845,-0.75717396,-1.188569,-1.1392201,0.30704963,0.2501013,-0.008473723,-0.049345884,0.043408327,-0.07221838,0.39488193,0.08372631,0.03404079,-0.17511472,-0.74377114,0.2874738,-0.14231646,0.20954372,0.3194946,0.36699638,-0.121529385,-0.92034924,-1.134908,-0.6204095,-1.1039563,-1.2613684,-1.0373646,-0.3236812,-1.485828,-1.4437147
0.004058102,-1.0413282,-1.8748403,-0.5204117,-1.0311265,-1.0342238,-1.3907001,-1.3677434,-0.87948644,-0.21335445,0.42658946,0.50367796,-0.38497624,-0.53118503,-0.14680862,-0.57799816,-0.38792574,-0.9071655,-0.3061441,0.4277548,-0.18084922,-1.2695532,-0.378986,-0.49908793,-0.7750785,0.107365355,-0.7512548,-0.44693306,-0.1354846,-0.0037142711,0.079404086,-0.110257514,0.49560148,0.32150418,0.32713357,0.13789494,0.19233173,0.35239592,-0.0934553,0.95138603,0.987717,-0.5353162,-1.0609591,-1.1544497,-1.337783,-1.0025333,-1.2779142,-1.4762203,-0.8800542,-0.25165308,-0.9870255,-1.4610723,-0.4147226,-0.20341977,-0.21828884,0.088631645,-0.11993155,-0.7235128,-1.154245,-0.9947466,-0.8197302,-1.3279308,-0.6704986,-1.1123642,-0.97075224,0.27494186,0.18991613,-0.0010175314,-0.12379412,-0.041059896,-0.115420304,0.22306293,-0.099292405,-0.059755817,-0.15107867,-0.8278637,0.0930036,-0.25669163,0.13267523,0.23757784,0.28055125,-0.07593275,-0.9553609,-1.1178629,-0.70308334,-1.183915,-1.3298659,-1.0529428,-0.4305649,-1.5127147,-1.3430928
-0.018256024,-0.8938443,-1.614101,-0.4391738,-0.9186212,-0.97308946,-1.1250305,-1.1290823,-0.811736,-0.21380407,0.12061347,0.29574585,-0.4195735,-0.6622556,-0.17461883,-0.6692072,-0.4253329,-0.87594104,-0.40482128,0.40587604,-0.13250636,-1.214127,-0.39759412,-0.48792434,-0.99155635,-0.020951401,-0.7714693,-0.4897815,-0.31793338,-0.29810855,-0.09138689,-0.19627829,0.3886631,0.24992025,0.12871085,0.06265875,0.19539906,0.43215144,-0.041322045,0.8164033,1.0933332,-0.4847359,-1.1004978,-1.1597393,-1.2577485,-1.1136092,-1.2438084,-1.3617792,-0.8910477,-0.35206157,-0.9388966,-1.2369801,-0.3866386,-0.26604235,-0.20394906,0.04808535,-0.18321854,-0.5783633,-1.0643927,-0.81379074,-0.68673575,-1.096467,-0.5838909,-1.0176984,-0.7972311,0.25954625,0.16908804,0.02641342,-0.16736521,-0.11493933,-0.13185911,0.09382535,-0.24648212,-0.1323952,-0.0874985,-0.8825777,-0.06780268,-0.33103582,0.069796436,0.18096203,0.21266878,-0.06176909,-0.93608034,-1.0525856,-0.72297674,-1.2016026,-1.3064764,-1.0105915,-0.47136775,-1.481585,-1.2228093
-0.011797746,-0.6702168,-1.2753105,-0.35118613,-0.79736006,-0.8829378,-0.83981776,-0.9147581,-0.71528393,-0.16411014,-0.12677512,0.1349949,-0.34908336,-0.6934167,-0.19328195,-0.6661164,-0.41321364,-0.78936696,-0.42366454,0.39680827,-0.08122993,-1.0780097,-0.34368238,-0.40961525,-1.1657488,-0.12254599,-0.7187223,-0.4979005,-0.45803618,-0.5454955,-0.21565127,-0.2706472,0.33208293,0.21182647,-0.037528206,0.033660308,0.24614981,0.52362674,0.026408972,0.5737923,1.0770242,-0.3740266,-0.9982106,-1.0598866,-1.0737693,-1.0998389,-1.1109403,-1.1867188,-0.86758333,-0.41498867,-0.8320742,-0.99990284,-0.33461335,-0.27679387,-0.1819232,0.025473034,-0.20816773,-0.44625303,-0.9535632,-0.66464204,-0.5686701,-0.8944112,-0.50755537,-0.9118441,-0.63248426,0.254034,0.20105028,0.07730809,-0.16796118,-0.16576448,-0.11094158,0.011838471,-0.35735318,-0.1739791,-0.011298049,-0.8912062,-0.17221852,-0.34434754,0.029463766,0.15897386,0.17240441,-0.09924324,-0.8514624,-0.9326178,-0.67129576,-1.142292,-1.1735061,-0.897799,-0.44424862,-1.3842026,-1.0845246
0.021377988,-0.38872677,-0.878514,-0.26592293,-0.68876314,-0.78221256,-0.569932,-0.7429944,-0.5983829,-0.076777905,-0.32609197,0.02524214,-0.17511077,-0.628154,-0.19908799,-0.5602876,-0.34149927,-0.6700159,-0.34812585,0.3966845,-0.03709327,-0.8762582,-0.21563467,-0.2619488,-1.2794969,-0.2007595,-0.6002844,-0.4717413,-0.5687308,-0.7260338,-0.29098418,-0.33278066,0.32158738,0.20509407,-0.1564882,0.04028748,0.338979,0.61256254,0.11076306,0.20479415,0.8989385,-0.21020293,-0.7518443,-0.84808826,-0.7892175,-0.9608446,-0.88268757,-0.9455441,-0.7941846,-0.4400706,-0.678957,-0.7597357,-0.26798755,-0.2315862,-0.15287122,0.025220519,-0.19019775,-0.33106035,-0.81515205,-0.5601277,-0.47120062,-0.73924667,-0.44330424,-0.8014598,-0.4870134,0.24942288,0.28920895,0.15111205,-0.116825975,-0.18243758,-0.04284699,-0.025512245,-0.43226358,-0.1778649,0.044295527,-0.83956754,-0.20585765,-0.2866921,0.012330617,0.17456308,0.16327415,-0.20084251,-0.6955995,-0.757873,-0.55036604,-0.99809057,-0.9328255,-0.71277803,-0.3574191,-1.2186823,-0.9303962
0.07380821,-0.08468371,-0.46651465,-0.18856652,-0.6104029,-0.6889711,-0.341211,-0.6214203,-0.4678865,0.02891787,-0.4934414,-0.040511504,0.0688445,-0.4890019,-0.18973869,-0.3671797,-0.21413651,-0.5513861,-0.19170144,0.403676,-0.011500618,-0.6419787,-0.034190577,-0.062074915,-1.311271,-0.26002428,-0.44003502,-0.41766578,-0.6621536,-0.82707125,-0.3241502,-0.38258284,0.33371487,0.21160857,-0.22732848,0.05969397,0.44772437,0.6742132,0.20229593,-0.28186136,0.54664564,-0.010800728,-0.39126918,-0.54134536,-0.43216333,-0.7196545,-0.5821367,-0.6467856,-0.6637368,-0.4293805,-0.5005312,-0.52441126,-0.19354247,-0.13235381,-0.11665847,0.045946438,-0.13319843,-0.2304665,-0.6407859,-0.4995191,-0.39236805,-0.63056636,-0.3807525,-0.68932635,-0.36175126,0.23938216,0.42054814,0.24126866,-0.013691345,-0.1597359,0.078664325,-0.027643813,-0.46581683,-0.1426671,0.052474223,-0.71615404,-0.16939059,-0.16411172,0.0074453913,0.22278304,0.18010199,-0.3594677,-0.46980464,-0.5353599,-0.37593305,-0.7693929,-0.60902554,-0.4697345,-0.22836168,-0.98856014,-0.7615345
0.13449834,0.20029959,-0.097465724,-0.116727635,-0.5683032,-0.61035836,-0.16235444,-0.54198676,-0.32660213,0.13262321,-0.6401263,-0.07807408,0.32204914,-0.31123284,-0.16716145,-0.1251432,-0.053307578,-0.46412328,0.00028754267,0.41998565,-0.012657683,-0.4157035,0.15905935,0.15148665,-1.2374895,-0.30264312,-0.26963148,-0.34714276,-0.7409632,-0.84163743,-0.32467768,-0.4172231,0.3309795,0.20047414,-0.26435518,0.065110855,0.5309504,0.6792101,0.28148416,-0.8351446,0.05383307,0.20001175,0.02622836,-0.17728338,-0.05127046,-0.41784236,-0.24628514,-0.3143252,-0.48486996,-0.3875585,-0.3185602,-0.29875016,-0.112333186,0.01149901,-0.07469807,0.077198684,-0.05175109,-0.13454616,-0.42263082,-0.4637953,-0.3219926,-0.5436466,-0.30047202,-0.5730917,-0.24557595,0.22391494,0.56508654,0.33462435,0.12830772,-0.10135238,0.25162187,-0.0083280485,-0.44344056,-0.073153324,0.0043221964,-0.51164854,-0.079723105,0.0032387434,-0.0050597843,0.2927866,0.20913874,-0.54228926,-0.18449916,-0.2786822,-0.17486104,-0.46591708,-0.24348831,-0.19964495,-0.0811661,-0.700913,-0.5773749
0.19190201,0.43295106,0.17341197,-0.042035006,-0.55329263,-0.5374436,-0.025582138,-0.4820877,-0.17445214,0.21901846,-0.7642838,-0.10606066,0.51688975,-0.1320708,-0.13942716,0.1155885,0.10348469,-0.42010793,0.16343473,0.4494337,-0.041461777,-0.2284706,0.31479225,0.327329,-1.0408401,-0.328557,-0.11526188,-0.27439097,-0.7954873,-0.7669661,-0.2964828,-0.429381,0.2768325,0.1405103,-0.29007113,0.036579974,0.54783916,0.6050121,0.32607993,-1.3635488,-0.4962141,0.3971768,0.43362167,0.19709668,0.29732263,-0.1033797,0.08503976,0.016555177,-0.2833201,-0.32346708,-0.14831243,-0.086468756,-0.02132617,0.18191808,-0.032764647,0.09986226,0.030204777,-0.028715119,-0.15923825,-0.42004636,-0.24584259,-0.43617404,-0.18408953,-0.44730863,-0.120039575,0.20871416,0.6837609,0.4133002,0.28149477,-0.019641919,0.46073648,0.016992847,-0.3475386,0.019871876,-0.088346474,-0.22207476,0.03554514,0.18824783,-0.04443429,0.37138897,0.23171352,-0.6975032,0.13918573,-0.007455857,0.021725988,-0.109205164,0.11755636,0.055333737,0.057170913,-0.36696678,-0.37716687
0.23628357,0.5983596,0.31582734,0.043345213,-0.54380393,-0.45042717,0.08483591,-0.41215214,-0.0134397885,0.28081036,-0.85105264,-0.13796204,0.60583854,0.019087588,-0.11901155,0.30885813,0.21445648,-0.4042883,0.23983401,0.49058056,-0.0908252,-0.08765526,0.3953651,0.41976556,-0.72406036,-0.33858424,0.012463355,-0.21319003,-0.80852246,-0.60696644,-0.23455665,-0.40924478,0.15287758,0.01692298,-0.32399768,-0.032787897,0.47689688,0.44776568,0.3219401,-1.7586863,-0.9892646,0.55907893,0.7750318,0.53785217,0.5660512,0.18221834,0.37892687,0.30748132,-0.093534924,-0.25076932,0.003258447,0.10701479,0.08061727,0.35211566,-0.0013425867,0.092203654,0.085127994,0.099199735,0.13765441,-0.33465183,-0.15274832,-0.26779512,-0.02582455,-0.30778137,0.030159134,0.20050986,0.7419109,0.4593857,0.40939268,0.067275375,0.6752432,0.032743603,-0.17242487,0.12064813,-0.19992507,0.14234067,0.14673163,0.36383066,-0.11837578,0.4447438,0.22938772,-0.77333283,0.46938336,0.25321352,0.18697847,0.2645115,0.43411216,0.25262436,0.16122939,-0.0066010114,-0.16343533
