AAL3_20,AAL3_21,AAL3_22,AAL3_23,AAL3_40,AAL3_41,AAL3_42,AAL3_43,AAL3_44,AAL3_45,AAL3_70,AAL3_71,AAL3_72,AAL3_73,AAL3_90,AAL3_91
-0.692501,0.6565438,0.008178837,0.45250225,-0.33741245,-0.6870142,-0.48835734,-0.07507231,-0.59631914,0.40383172,0.6231777,-0.24110104,0.61475027,0.371159,-0.95508033,-1.0774697
-0.40009436,0.9399296,0.1942988,0.56539667,-0.23449558,-0.5890248,-0.45054242,-0.046863593,-0.55623865,0.22912017,0.47738394,-0.26478603,0.46302462,0.26623058,-1.0146508,-1.204183
-0.05607677,1.2214631,0.40559128,0.68795216,-0.11706148,-0.4699555,-0.39566243,-0.013684668,-0.503153,0.028393187,0.33456376,-0.2954865,0.29901254,0.14102758,-1.0658628,-1.3314385
0.3145203,1.4637736,0.62805104,0.80783683,0.011405228,-0.32569584,-0.32158628,0.02737077,-0.43666047,-0.182083,0.19604038,-0.34991738,0.13475254,0.0022518102,-1.0953796,-1.443339
0.6671755,1.6179178,0.8356584,0.9043923,0.14219816,-0.15591899,-0.23027666,0.07830499,-0.36037228,-0.37463588,0.061914545,-0.447704,-0.009881269,-0.13512099,-1.0891732,-1.5171123
0.9442008,1.6348422,0.99201673,0.9508906,0.26108685,0.032745488,-0.12969804,0.138411,-0.2829958,-0.51310563,-0.06811244,-0.60259795,-0.10999727,-0.24843472,-1.0378145,-1.526053
1.091256,1.4838021,1.0585852,0.92177874,0.35088548,0.22419247,-0.03341187,0.20284915,-0.2169077,-0.5624992,-0.1937936,-0.81174505,-0.14375937,-0.31282654,-0.9413675,-1.4463928
1.0781147,1.1694642,1.0079908,0.8029907,0.39681008,0.39287388,0.043202695,0.26294738,-0.17380188,-0.5033188,-0.31430626,-1.0499384,-0.10338221,-0.31064346,-0.8101631,-1.2664759
0.9124098,0.73707473,0.83624595,0.59996885,0.3922529,0.50805306,0.08886577,0.30880356,-0.1593278,-0.34340444,-0.42905867,-1.2742496,-0.0028046395,-0.24006817,-0.66010684,-0.99420244
0.63848007,0.26143277,0.56690496,0.3382982,0.34179324,0.5424869,0.101320624,0.33312243,-0.16989009,-0.119198315,-0.5377188,-1.437264,0.12382139,-0.117473565,-0.5055232,-0.65853995
0.32301012,-0.17457135,0.24472685,0.05633564,0.25998905,0.48335406,0.088580556,0.3341844,-0.19342734,0.11619983,-0.6383476,-1.5013429,0.23315807,0.028166385,-0.35433888,-0.303451
0.035748813,-0.5014466,-0.077625185,-0.20604336,0.16711581,0.34102893,0.06612943,0.31648257,-0.21330665,0.31276476,-0.72510874,-1.4475088,0.28751168,0.16537502,-0.2078834,0.023884693
-0.16705774,-0.67733157,-0.35345048,-0.41722256,0.08427036,0.15075426,0.05179614,0.28922,-0.21293402,0.44103256,-0.7884392,-1.2778841,0.26618734,0.26918384,-0.063825406,0.28616306
-0.25315326,-0.6934971,-0.5512772,-0.55904037,0.029603496,-0.035504293,0.06060425,0.26392558,-0.17919323,0.49900234,-0.8185341,-1.0138004,0.16935188,0.32530355,0.08065215,0.46548823
-0.2184308,-0.57296205,-0.657756,-0.6274029,0.015932582,-0.16521616,0.10116952,0.25207356,-0.104419395,0.5064673,-0.8095115,-0.6910028,0.014994922,0.3294638,0.22711474,0.5660845
-0.08535729,-0.36403,-0.67550826,-0.6300017,0.048897758,-0.2031634,0.17405641,0.26254538,0.012239324,0.49154493,-0.7606667,-0.35192558,-0.16784813,0.28470993,0.37541157,0.6097976
0.10379556,-0.12953119,-0.6185542,-0.58268154,0.124988444,-0.14315341,0.2717543,0.29859212,0.16345116,0.47733995,-0.6739829,-0.035677068,-0.3466431,0.19950745,0.52351606,0.6267054
0.29805627,0.067271836,-0.50741106,-0.5051629,0.23007318,-0.008416281,0.37995908,0.35509065,0.33302283,0.4748815,-0.55069613,0.23147224,-0.49214983,0.08727585,0.6671391,0.64460045
0.45129803,0.1775558,-0.36478305,-0.41660014,0.3402852,0.15869054,0.48023072,0.41798532,0.4975589,0.48354113,-0.39054662,0.44135344,-0.5838602,-0.034337923,0.7994833,0.68101424
0.5348602,0.17838052,-0.21213366,-0.33202258,0.42672524,0.31178802,0.5540056,0.46722445,0.63128084,0.49560803,-0.19464594,0.60286075,-0.613419,-0.14633268,0.91195464,0.7401022
0.5449556,0.07649207,-0.067444526,-0.2610154,0.46327868,0.4132714,0.5871357,0.4824001,0.712609,0.50044125,0.030584607,0.7356729,-0.5851532,-0.23322286,0.9962276,0.81461996
0.50156134,-0.09731111,0.05561695,-0.20904349,0.43459785,0.44103354,0.57339424,0.44863486,0.72962576,0.4859374,0.27191,0.8619045,-0.5134264,-0.28753647,1.0470958,0.89122856
0.43879616,-0.3011402,0.14735965,-0.180119,0.340911,0.39004043,0.5156481,0.3604996,0.68239164,0.43863377,0.51148844,0.99873435,-0.41783613,-0.31129384,1.0648645,0.95642245
0.390602,-0.49715737,0.2010804,-0.17873825,0.19796824,0.2715151,0.424505,0.22324973,0.5823537,0.3455534,0.7309882,1.1535499,-0.3181451,-0.31361938,1.0561941,1.0009186
0.3772159,-0.6634729,0.21166718,-0.21002376,0.032546934,0.1105307,0.31519917,0.051715076,0.45027953,0.19941701,0.91474545,1.3219117,-0.23041075,-0.30586004,1.0330081,1.0217371
0.39670745,-0.79949754,0.17385985,-0.27864417,-0.12490665,-0.05963402,0.20368099,-0.1328027,0.31321168,0.0052771033,1.0506641,1.4884138,-0.16457227,-0.29664323,1.0097549,1.0223609
0.42359,-0.9239243,0.08090952,-0.3875504,-0.24864393,-0.207331,0.102742516,-0.30732498,0.19959456,-0.21608828,1.1299258,1.6306741,-0.1231227,-0.28893745,0.99971527,1.0115998
0.41507083,-1.0660741,-0.0746576,-0.5366658,-0.3248264,-0.31383586,0.019154323,-0.4526701,0.13233599,-0.43198204,1.147413,1.7261078,-0.100998804,-0.2800442,1.0114247,1.0013623
0.32441536,-1.2526513,-0.2967657,-0.72094154,-0.35495982,-0.3803287,-0.04696247,-0.5576787,0.12211528,-0.60850537,1.1034015,1.7594763,-0.08751864,-0.2642519,1.0465982,1.0032278
0.11855922,-1.4939011,-0.5788001,-0.9278212,-0.3534278,-0.42571923,-0.09974412,-0.62035775,0.16496114,-0.7229546,1.0048848,1.727567,-0.0708315,-0.23699404,1.1006577,1.0240607
-0.206188,-1.7747471,-0.8974453,-1.135539,-0.3393599,-0.47527692,-0.14284281,-0.6455336,0.24645004,-0.7709714,0.8639984,1.637694,-0.043860096,-0.19889568,1.1657339,1.0618013
-0.61780447,-2.0555105,-1.2118832,-1.3142227,-0.32645047,-0.5456997,-0.17475468,-0.6404898,0.35044888,-0.76478076,0.6927507,1.5000895,-0.009268066,-0.1580203,1.2344688,1.103299
-1.0558186,-2.2827547,-1.4708995,-1.4307873,-0.31633565,-0.63508826,-0.18734328,-0.61124074,0.46665987,-0.7247459,0.49681672,1.3189687,0.019315412,-0.12893252,1.3023349,1.1258638
-1.4498706,-2.406175,-1.6264919,-1.4568421,-0.299797,-0.7240975,-0.16947314,-0.56181717,0.5915598,-0.6703827,0.27372912,1.0893166,0.021556396,-0.1280375,1.3671222,1.103024
-1.7418153,-2.3954,-1.6490599,-1.3774763,-0.26571873,-0.7880397,-0.11484457,-0.497141,0.72174835,-0.61597496,0.019421052,0.80346197,-0.02009107,-0.16620228,1.4260863,1.0133365
-1.902682,-2.251506,-1.5381765,-1.198188,-0.21289217,-0.8127556,-0.030140273,-0.42751056,0.84423876,-0.57135445,-0.2585043,0.46461955,-0.108544774,-0.24147956,1.4727457,0.84970486
-1.9389403,-2.009796,-1.324474,-0.9470555,-0.15745479,-0.8044473,0.061652593,-0.3710756,0.93109745,-0.5445207,-0.5287083,0.09876033,-0.22337884,-0.33575734,1.4956621,0.6257916
-1.8868233,-1.7317327,-1.0612423,-0.66969365,-0.13060077,-0.7875219,0.12615569,-0.35145956,0.94401574,-0.5426596,-0.7351869,-0.24400948,-0.3215061,-0.4182788,1.4806433,0.3760503
-1.7972456,-1.4866736,-0.8080486,-0.4166896,-0.16645503,-0.7920992,0.12991565,-0.3906878,0.84867805,-0.5708913,-0.81247765,-0.50141835,-0.35045883,-0.45603973,1.4161134,0.14744322
-1.7171314,-1.3293393,-0.61228085,-0.22731876,-0.2857917,-0.83863556,0.054779023,-0.50063753,0.63242215,-0.6302711,-0.7123712,-0.6192101,-0.27053815,-0.42720437,1.2995787,-0.01544804
-1.6748996,-1.2833494,-0.49635494,-0.116989605,-0.4841043,-0.92755586,-0.092934914,-0.677108,0.31571692,-0.7163909,-0.4292755,-0.56981677,-0.075266905,-0.33107066,1.1421041,-0.08602491
-1.6760446,-1.3388572,-0.45614064,-0.07527712,-0.730477,-1.0379963,-0.28351635,-0.89906865,-0.049419306,-0.8188844,-0.010547347,-0.36142805,0.20143321,-0.18895014,0.9681658,-0.0647026
-1.7088757,-1.4631541,-0.47011572,-0.075577855,-0.97787976,-1.1353725,-0.47497457,-1.1332177,-0.39424786,-0.9222729,0.45421582,-0.03537809,0.49592438,-0.035014328,0.8100578,0.022619028
-1.7546159,-1.614878,-0.5127882,-0.09032463,-1.1795688,-1.1845938,-0.62875557,-1.3421808,-0.655111,-1.0091653,0.8598639,0.34461364,0.7375474,0.09789499,0.69826746,0.13494618
-1.7951696,-1.7530096,-0.5647492,-0.10295781,-1.3038613,-1.1641284,-0.72271705,-1.4938064,-0.7933872,-1.0656362,1.1164486,0.7062878,0.8714757,0.18957648,0.6508124,0.2301018
-1.815989,-1.8397901,-0.6158684,-0.11129207,-1.3417157,-1.0755132,-0.7562797,-1.568789,-0.80663544,-1.0859371,1.173037,0.98288846,0.87227416,0.23557147,0.6649732,0.2770999
-1.8058395,-1.8430499,-0.6633321,-0.12304266,-1.3060851,-0.9441614,-0.747228,-1.5643126,-0.7279811,-1.0728539,1.029275,1.1267402,0.7461726,0.24284208,0.71438307,0.26407355
-1.7560871,-1.7420563,-0.70803094,-0.14811946,-1.2255946,-0.810794,-0.72337335,-1.4928172,-0.6147188,-1.0331601,0.7342491,1.1211145,0.52581537,0.22336482,0.753405,0.20023812
-1.6604427,-1.5348306,-0.75106376,-0.19201964,-1.1358901,-0.71697444,-0.7132863,-1.3770285,-0.5300427,-0.97228086,0.3737933,0.9865965,0.26160082,0.1903289,0.72895986,0.11109523
-1.5149206,-1.2411594,-0.7902351,-0.25219634,-1.0707978,-0.6906696,-0.7389353,-1.2438381,-0.5236277,-0.8934943,0.047981318,0.7771437,0.010850668,0.15709834,0.5971911,0.027850715
-1.3179147,-0.89751893,-0.8168957,-0.31749216,-1.0543277,-0.7373976,-0.81115,-1.119365,-0.6171264,-0.8027612,-0.15684876,0.5639988,-0.17528741,0.13570966,0.3393264,-0.025057163
-1.0704075,-0.54529804,-0.8153111,-0.3705326,-1.0947452,-0.8400051,-0.9278918,-1.0258431,-0.7991991,-0.71425843,-0.19314934,0.41159195,-0.26501912,0.13293324,-0.029978136,-0.03863254
-0.7759919,-0.21778616,-0.7670135,-0.3931626,-1.1827241,-0.9668609,-1.0754467,-0.9794568,-1.0317092,-0.64991796,-0.06440571,0.35474518,-0.25386146,0.14610404,-0.4658566,-0.020048864
-0.4405966,0.067813955,-0.659892,-0.3740554,-1.2952007,-1.0852439,-1.2327166,-0.9882195,-1.2649441,-0.6310184,0.18109153,0.3871466,-0.16262048,0.16300353,-0.90656924,0.014303656
-0.07264091,0.3098297,-0.4978223,-0.31560603,-1.4042603,-1.1745687,-1.377821,-1.05023,-1.4562073,-0.66702247,0.4719816,0.46623436,-0.02597276,0.16736078,-1.2908092,0.04877642
0.31578574,0.51448077,-0.3047318,-0.23604855,-1.4875655,-1.2336333,-1.4947377,-1.1537136,-1.5843414,-0.74981946,0.7404155,0.5318025,0.12163542,0.14659165,-1.5721383,0.07535467
0.70790863,0.6870238,-0.11930676,-0.16438238,-1.535759,-1.2782425,-1.5772645,-1.2800329,-1.6541172,-0.85768455,0.9411975,0.52929014,0.25459462,0.09623216,-1.7268808,0.09391036
1.0838965,0.8279101,0.017898519,-0.12992184,-1.553903,-1.3300872,-1.6290306,-1.4092641,-1.6890316,-0.9660922,1.0566648,0.42743522,0.3558507,0.018343907,-1.7557217,0.10697005
1.4258701,0.93562526,0.0780403,-0.15216134,-1.5570812,-1.4023077,-1.6604234,-1.5259657,-1.7165493,-1.0578684,1.0892018,0.22410966,0.4114202,-0.08369989,-1.6809944,0.11394174
1.7230908,1.011929,0.05052439,-0.23677534,-1.5625991,-1.4886297,-1.6842073,-1.6218771,-1.7528263,-1.1261287,1.049302,-0.059306625,0.40682524,-0.20890175,-1.5408313,0.10988508
1.9722284,1.0633126,-0.060482897,-0.37912896,-1.5817481,-1.5605838,-1.7107859,-1.6935962,-1.7928618,-1.1688359,0.946783,-0.38977164,0.32966486,-0.35759702,-1.3800484,0.090092
2.1708145,1.0966736,-0.2451174,-0.5706877,-1.6135092,-1.5735433,-1.7431682,-1.7365254,-1.8086311,-1.179999,0.78765804,-0.73424995,0.17605996,-0.5271235,-1.2379884,0.056717515
2.308347,1.1136366,-0.49337342,-0.80108297,-1.6420089,-1.4799343,-1.7724344,-1.7395645,-1.7551649,-1.1457225,0.5744955,-1.066592,-0.04553515,-0.7088524,-1.1358613,0.021496339
2.3631432,1.1101503,-0.7906992,-1.0523367,-1.6392016,-1.2467864,-1.7762333,-1.6855189,-1.5838068,-1.0508676,0.30778056,-1.3677955,-0.3177737,-0.8902093,-1.0685834,0.0012680403
2.3097417,1.0831562,-1.1063586,-1.2899187,-1.5731347,-0.8724617,-1.7230905,-1.5587248,-1.2607838,-0.8941676,-0.011370732,-1.6206312,-0.62308586,-1.0607935,-1.0062449,0.008711918
2.1332731,1.0384288,-1.3862034,-1.4613029,-1.4196515,-0.3940986,-1.582458,-1.3556513,-0.78573567,-0.70083636,-0.3754996,-1.8023908,-0.9499492,-1.217331,-0.90697294,0.044818956
1.8407186,0.9908991,-1.5615617,-1.5099132,-1.1726489,0.12223207,-1.336294,-1.0905212,-0.20100942,-0.5196057,-0.7632843,-1.8814269,-1.2900586,-1.3619343,-0.7372194,0.09867225
1.4604499,0.95467335,-1.5747364,-1.4007609,-0.84752184,0.6082273,-0.98616135,-0.7902654,0.41636664,-0.40020254,-1.1355184,-1.8221323,-1.6272801,-1.4930562,-0.49046856,0.15461315
1.0301467,0.929756,-1.4070944,-1.1423255,-0.47559708,1.0236099,-0.55240256,-0.4808925,0.97962683,-0.36264306,-1.4399958,-1.598084,-1.9273595,-1.5951768,-0.19441573,0.20125464
0.5818953,0.8969025,-1.0907419,-0.7883189,-0.09243811,1.3704796,-0.06693009,-0.1746601,1.4226915,-0.3789686,-1.6252449,-1.2068677,-2.13858,-1.6359317,0.09851265,0.23567753
0.13475935,0.8265429,-0.6948522,-0.41553572,0.2737014,1.6810026,0.43546218,0.13242643,1.7199901,-0.38202116,-1.6565233,-0.67758775,-2.206266,-1.575153,0.33367378,0.26025897
-0.30121157,0.69706506,-0.29491138,-0.090451054,0.6076499,1.9862838,0.9228671,0.45092446,1.885872,-0.29812747,-1.525847,-0.06603236,-2.0940669,-1.3821355,0.47844708,0.27522224
-0.7139359,0.5109931,0.05660218,0.1557366,0.9055063,2.287583,1.3678511,0.7832011,1.9564362,-0.08479567,-1.2521994,0.559793,-1.800165,-1.0517108,0.5354084,0.27268305
-1.0797507,0.29932055,0.34311584,0.33101553,1.1676698,2.5481493,1.746547,1.1136858,1.9662633,0.24778667,-0.8738933,1.1357224,-1.35977,-0.6103089,0.5378244,0.23637474
-1.3621144,0.11171842,0.5774964,0.46694145,1.3914798,2.7084842,2.0380154,1.4097028,1.9330885,0.6413941,-0.43755022,1.6121324,-0.8331877,-0.108897835,0.53096694,0.14747787
-1.5200753,-0.0022025136,0.78380275,0.59531087,1.5679157,2.7132766,2.2258995,1.6312721,1.8563423,1.0149297,0.012774988,1.9579705,-0.28602976,0.3935321,0.55040455,-0.0063204765
-1.5226974,-0.01161624,0.97845167,0.7302752,1.6842731,2.53452,2.3025584,1.7439343,1.7268479,1.2948561,0.4438036,2.1611383,0.22867993,0.84785134,0.6089432,-0.2230979
-1.3626502,0.08511517,1.159655,0.86345226,1.7312832,2.1816773,2.2737923,1.7289864,1.5401946,1.4363228,0.8356126,2.2276375,0.6785551,1.2256036,0.6974114,-0.4846257
-1.0627949,0.2622478,1.3087026,0.9718488,1.7105771,1.6986898,2.16111,1.5885484,1.3066378,1.4289086,1.176268,2.178442,1.0481097,1.5184233,0.79572606,-0.76174915
-0.67335194,0.4783464,1.4006038,1.0322485,1.6380609,1.1527495,1.999102,1.3455541,1.053604,1.290428,1.450597,2.0420668,1.3285383,1.7285947,0.8855047,-1.0246904
-0.26160243,0.6909794,1.4168992,1.0333409,1.5407125,0.6199237,1.827646,1.0395136,0.82021785,1.0566002,1.6310846,1.8442626,1.5102208,1.8587383,0.95676184,-1.2522453
0.10189289,0.8675952,1.3527843,0.9791807,1.4475284,0.17037845,1.6811181,0.7185139,0.64569056,0.7720434,1.6800418,1.600318,1.5843668,1.9083755,1.0069678,-1.4344033
0.35738003,0.989917,1.2150573,0.8833481,1.3784038,-0.14562753,1.5783349,0.42819136,0.55540323,0.48293686,1.5652287,1.3149649,1.552287,1.8790023,1.0360589,-1.5678205
0.46853927,1.0536302,1.0140814,0.75891256,1.3362632,-0.30916396,1.5171161,0.20006655,0.5501457,0.22914658,1.2804222,0.98947114,1.433887,1.7821393,1.0422529,-1.6490653
0.43160635,1.0662953,0.75695646,0.6112173,1.3065709,-0.3377379,1.4759861,0.043289494,0.6038382,0.03559832,0.8570426,0.63011116,1.2668743,1.642534,1.0210166,-1.67194
