b'7Networks_LH_Default_Temp_1',b'7Networks_LH_Default_Temp_2',b'7Networks_LH_Default_Temp_3',b'7Networks_LH_Default_Temp_4',b'7Networks_LH_Default_Temp_5',b'7Networks_LH_Default_Temp_6',b'7Networks_LH_Default_Temp_7',b'7Networks_LH_Default_Temp_8',b'7Networks_LH_Default_Temp_9',b'7Networks_LH_Default_Temp_10',b'7Networks_LH_Default_Par_1',b'7Networks_LH_Default_Par_2',b'7Networks_LH_Default_Par_3',b'7Networks_LH_Default_Par_4',b'7Networks_LH_Default_Par_5',b'7Networks_LH_Default_Par_6',b'7Networks_LH_Default_Par_7',b'7Networks_LH_Default_PFC_1',b'7Networks_LH_Default_PFC_2',b'7Networks_LH_Default_PFC_3',b'7Networks_LH_Default_PFC_4',b'7Networks_LH_Default_PFC_5',b'7Networks_LH_Default_PFC_6',b'7Networks_LH_Default_PFC_7',b'7Networks_LH_Default_PFC_8',b'7Networks_LH_Default_PFC_9',b'7Networks_LH_Default_PFC_10',b'7Networks_LH_Default_PFC_11',b'7Networks_LH_Default_PFC_12',b'7Networks_LH_Default_PFC_13',b'7Networks_LH_Default_PFC_14',b'7Networks_LH_Default_PFC_15',b'7Networks_LH_Default_PFC_16',b'7Networks_LH_Default_PFC_17',b'7Networks_LH_Default_PFC_18',b'7Networks_LH_Default_PFC_19',b'7Networks_LH_Default_PFC_20',b'7Networks_LH_Default_PFC_21',b'7Networks_LH_Default_PFC_22',b'7Networks_LH_Default_PFC_23',b'7Networks_LH_Default_PFC_24',b'7Networks_LH_Default_pCunPCC_1',b'7Networks_LH_Default_pCunPCC_2',b'7Networks_LH_Default_pCunPCC_3',b'7Networks_LH_Default_pCunPCC_4',b'7Networks_LH_Default_pCunPCC_5',b'7Networks_LH_Default_pCunPCC_6',b'7Networks_LH_Default_pCunPCC_7',b'7Networks_LH_Default_pCunPCC_8',b'7Networks_LH_Default_pCunPCC_9',b'7Networks_LH_Default_pCunPCC_10',b'7Networks_LH_Default_pCunPCC_11',b'7Networks_RH_Default_Par_1',b'7Networks_RH_Default_Par_2',b'7Networks_RH_Default_Par_3',b'7Networks_RH_Default_Par_4',b'7Networks_RH_Default_Par_5',b'7Networks_RH_Default_Temp_1',b'7Networks_RH_Default_Temp_2',b'7Networks_RH_Default_Temp_3',b'7Networks_RH_Default_Temp_4',b'7Networks_RH_Default_Temp_5',b'7Networks_RH_Default_Temp_6',b'7Networks_RH_Default_Temp_7',b'7Networks_RH_Default_Temp_8',b'7Networks_RH_Default_PFCv_1',b'7Networks_RH_Default_PFCv_2',b'7Networks_RH_Default_PFCv_3',b'7Networks_RH_Default_PFCv_4',b'7Networks_RH_Default_PFCdPFCm_1',b'7Networks_RH_Default_PFCdPFCm_2',b'7Networks_RH_Default_PFCdPFCm_3',b'7Networks_RH_Default_PFCdPFCm_4',b'7Networks_RH_Default_PFCdPFCm_5',b'7Networks_RH_Default_PFCdPFCm_6',b'7Networks_RH_Default_PFCdPFCm_7',b'7Networks_RH_Default_PFCdPFCm_8',b'7Networks_RH_Default_PFCdPFCm_9',b'7Networks_RH_Default_PFCdPFCm_10',b'7Networks_RH_Default_PFCdPFCm_11',b'7Networks_RH_Default_PFCdPFCm_12',b'7Networks_RH_Default_PFCdPFCm_13',b'7Networks_RH_Default_pCunPCC_1',b'7Networks_RH_Default_pCunPCC_2',b'7Networks_RH_Default_pCunPCC_3',b'7Networks_RH_Default_pCunPCC_4',b'7Networks_RH_Default_pCunPCC_5',b'7Networks_RH_Default_pCunPCC_6',b'7Networks_RH_Default_pCunPCC_7',b'7Networks_RH_Default_pCunPCC_8',b'7Networks_RH_Default_pCunPCC_9'
-1.1166157,-0.7469605,-1.4973035,-0.6513714,-0.16235466,-0.9347815,-0.5908405,-0.6203439,-1.0337713,-0.8571745,-1.3508263,-1.1184313,-1.8997524,-2.0388865,-1.508837,-0.39691582,-0.79865503,-0.942271,-1.0615596,-0.19383407,0.27310905,-0.66011035,1.2825506,-0.24870957,-1.5764083,-0.1115195,0.107486546,0.5958668,0.46548232,-1.439327,-0.1604949,0.50635594,0.28153747,1.1431724,0.25041088,0.20620073,1.310856,1.897834,0.8636468,0.23641194,0.5855101,-0.53263885,-0.7647392,-0.5627501,-0.47913384,0.21350634,-0.42622703,-1.1007926,-0.3179166,-0.57197773,0.5200839,-0.65133333,0.49506137,-0.26077032,0.20914611,0.7589227,0.62052673,0.50794756,-0.6788883,0.07495407,-0.2420233,-0.6925633,-0.78730345,-0.00047246658,-0.15760913,-0.5408201,0.02763243,-1.1065814,0.41859207,0.3323531,0.5375203,0.7023661,-0.15210077,0.68434405,0.14262854,0.864748,0.44236648,0.87811965,0.62351155,0.064331524,0.23978767,1.4543464,-0.7685054,-0.5029937,-0.0802325,-0.63853014,-0.120062284,-0.9879326,-0.21138184,-0.9644445,-0.4141108
-1.0936419,-0.8222814,-1.5240629,-0.6419365,-0.11900162,-0.81663567,-0.49935275,-0.5641829,-0.8882558,-0.7609262,-1.311074,-0.76161844,-1.5545589,-1.7762357,-1.2936765,-0.43232313,-0.6161411,-0.8721957,-0.9797321,0.015858691,0.3335751,-0.57538617,1.1724219,-0.21259993,-1.2208097,0.14760381,0.18594941,0.5318351,0.5316998,-1.1177404,0.04692029,0.6004547,0.4250229,1.1146057,0.47993517,0.3031416,1.2234273,1.8021244,0.8104622,0.42613086,0.7428481,-0.36782724,-0.5459052,-0.37762606,-0.37639317,0.31363216,-0.22912094,-0.888094,-0.2642609,-0.53759354,0.4019359,-0.61156327,0.5996824,-0.20970851,0.43247646,0.992686,0.7905741,0.32659495,-0.6928278,-0.060982745,-0.2549864,-0.5150665,-0.81271696,-0.050337788,-0.26095906,-0.62568486,-0.09248002,-1.0603361,0.32009205,0.4301659,0.67286456,0.820626,0.11234032,0.8749579,0.27710375,1.0175136,0.67112845,1.0512887,0.8227406,0.33897814,0.5047465,1.550711,-0.62161386,-0.41299698,0.10625846,-0.42965028,0.020823844,-0.89942485,-0.21702415,-0.7424418,-0.29380986
-1.0711113,-0.86337984,-1.5237372,-0.6169337,-0.091031276,-0.6901417,-0.41405973,-0.51222146,-0.75016147,-0.6793045,-1.2856699,-0.42809635,-1.1267284,-1.4447691,-1.051659,-0.4205279,-0.39539492,-0.77689546,-0.8647352,0.25856414,0.40648824,-0.4713753,1.0303923,-0.17113681,-0.7996508,0.4362105,0.27025783,0.46642977,0.59435135,-0.7324815,0.29892692,0.7184696,0.6010825,1.0971309,0.7382726,0.4316896,1.1277785,1.6931516,0.79126287,0.64787465,0.9071314,-0.14610843,-0.27682143,-0.16629213,-0.26988813,0.37639287,-0.015888764,-0.6313519,-0.20764717,-0.5142001,0.25779203,-0.54038936,0.66873837,-0.1628793,0.6333562,1.2081311,0.9552641,0.11227298,-0.716391,-0.20184007,-0.2815449,-0.33775246,-0.84367275,-0.11322218,-0.38788897,-0.7044792,-0.22402155,-0.9994209,0.20655614,0.5416138,0.81159467,0.9471788,0.39239746,1.0362772,0.40096176,1.1675098,0.8968414,1.2054051,1.020724,0.6295879,0.7739229,1.6499429,-0.43095022,-0.3134854,0.30996472,-0.20191792,0.16562025,-0.79405653,-0.2609845,-0.5051293,-0.15202576
-1.0469401,-0.85579133,-1.4820912,-0.57127136,-0.083131395,-0.5593787,-0.3392233,-0.4661134,-0.6294138,-0.61290973,-1.274147,-0.13804893,-0.6203529,-1.0453017,-0.7913081,-0.34433976,-0.14552698,-0.65463585,-0.71035707,0.5211012,0.48674485,-0.3477642,0.8520256,-0.12397853,-0.34094086,0.7265871,0.35871616,0.3972878,0.62986726,-0.30666494,0.5816674,0.85439825,0.8013436,1.0936152,1.0087641,0.59329176,1.0251102,1.5738267,0.8139689,0.88884616,1.0630428,0.12794475,0.03382979,0.05401066,-0.17320526,0.37494156,0.19037852,-0.34840205,-0.16173258,-0.51099837,0.07799952,-0.4437435,0.68810767,-0.11762042,0.7889104,1.3782454,1.0933024,-0.1250404,-0.7519273,-0.33825183,-0.32288972,-0.17084882,-0.8759755,-0.18486837,-0.52275014,-0.77498615,-0.35294396,-0.9186424,0.08940355,0.6580361,0.93349725,1.0611868,0.6535536,1.1325479,0.48952776,1.2930526,1.0968596,1.3161634,1.1963538,0.916867,1.0211581,1.7377725,-0.1978945,-0.21413381,0.5141067,0.02388112,0.292646,-0.6813836,-0.36132896,-0.28303382,-0.0076929205
-1.0157162,-0.78815943,-1.3877774,-0.49723288,-0.095125385,-0.4299053,-0.276553,-0.42246374,-0.53335357,-0.5568945,-1.2687877,0.08329124,-0.06009859,-0.5952389,-0.5272888,-0.19619764,0.11271215,-0.5075728,-0.51494676,0.77704287,0.56358606,-0.20764542,0.63758206,-0.07003885,0.104394,0.9740708,0.45058984,0.31885004,0.6094722,0.11582977,0.86635536,0.99310744,1.006643,1.1034651,1.2619798,0.78058034,0.92135584,1.4512645,0.87995726,1.1287374,1.194133,0.43306613,0.36254427,0.25413278,-0.10817663,0.2800046,0.3548276,-0.07429081,-0.14920396,-0.53855854,-0.14858854,-0.33567175,0.6492172,-0.06758545,0.8775505,1.4703182,1.1790602,-0.36406544,-0.7960049,-0.45617223,-0.3716287,-0.022028992,-0.8961649,-0.25413236,-0.6352465,-0.8334241,-0.45666507,-0.8117047,-0.013564557,0.7628642,1.0099154,1.1308157,0.8466829,1.1241955,0.5135243,1.3664536,1.2432153,1.3544887,1.3239563,1.1734598,1.2142178,1.7950677,0.06444666,-0.1312456,0.69111395,0.21697152,0.37275618,-0.5798239,-0.53272337,-0.117027044,0.11176566
-0.96785057,-0.6567823,-1.2372972,-0.38481253,-0.118775934,-0.30756316,-0.22358102,-0.37078795,-0.46263182,-0.50002533,-1.2531457,0.20887163,0.5058934,-0.13041015,-0.2782241,0.014707041,0.34878442,-0.3425452,-0.28534225,0.98754406,0.6211313,-0.05845029,0.394241,-0.0073625324,0.4699884,1.1244843,0.54677725,0.22296676,0.50848186,0.47648346,1.1121064,1.1112266,1.1872566,1.1200986,1.4582992,0.97397995,0.8287286,1.3350817,0.98047477,1.3426328,1.2878314,0.7286539,0.6701301,0.39688352,-0.10155318,0.06932459,0.43675256,0.1427946,-0.19699842,-0.60481995,-0.42883813,-0.23615164,0.55510736,-0.0025915215,0.8882943,1.4540881,1.1907849,-0.57232946,-0.8339216,-0.5369446,-0.40716958,0.1092958,-0.8792108,-0.30236116,-0.682856,-0.87168044,-0.5063703,-0.6723901,-0.08171395,0.832582,1.0093528,1.1193568,0.9191674,0.9805386,0.4475837,1.3605875,1.3085592,1.294115,1.3797108,1.3672696,1.3221408,1.8002679,0.32801366,-0.085216574,0.8058347,0.34241465,0.37652063,-0.5137306,-0.7771774,-0.047000453,0.1782614
-0.8911636,-0.4688452,-1.0381571,-0.22526886,-0.13775147,-0.19702655,-0.17372406,-0.29535764,-0.4096324,-0.42713913,-1.2048815,0.21845858,1.0120729,0.30152056,-0.061823305,0.25996742,0.53015167,-0.16997547,-0.039849415,1.1092774,0.64221567,0.0880132,0.13610752,0.06593022,0.6935051,1.1313227,0.64905185,0.10169692,0.31827933,0.7190397,1.276638,1.1827608,1.3079373,1.1300772,1.5571501,1.1424363,0.76412684,1.2329617,1.0961826,1.5064746,1.3395079,0.9603257,0.907624,0.44695675,-0.17618032,-0.25993422,0.40180552,0.2548286,-0.324612,-0.7090903,-0.75652844,-0.16551894,0.42377362,0.0888047,0.82921696,1.3143889,1.1214353,-0.7121293,-0.8378297,-0.5599216,-0.39685318,0.23572785,-0.7928711,-0.30688834,-0.6226594,-0.8759373,-0.4746319,-0.49701014,-0.097763814,0.8424066,0.90801865,0.99847907,0.83429414,0.69611365,0.2819161,1.2587924,1.2749839,1.1227391,1.3500065,1.4682455,1.3254069,1.7344825,0.55201775,-0.09415735,0.8241996,0.3719506,0.28527507,-0.50503695,-1.0751818,-0.09531998,0.17486767
-0.77584934,-0.2422718,-0.8079168,-0.018145477,-0.13275443,-0.10116656,-0.118752785,-0.1821653,-0.36219788,-0.3254912,-1.1036814,0.111741416,1.3900862,0.65499175,0.11059234,0.4969471,0.6333816,-0.0008266083,0.19227861,1.1085228,0.6148855,0.21681507,-0.1184543,0.14953488,0.7405432,0.9765005,0.7575522,-0.04846832,0.054533344,0.81097025,1.3314391,1.1877378,1.3368891,1.1155932,1.5306753,1.2500298,0.74325156,1.1455945,1.2010486,1.6026667,1.3521898,1.0744992,1.0286388,0.3837455,-0.3390805,-0.6813496,0.23632345,0.23229209,-0.52965355,-0.8367036,-1.1050639,-0.13794272,0.28525653,0.21331781,0.7280237,1.062824,0.9851294,-0.75216913,-0.7738368,-0.50852424,-0.30695125,0.3784603,-0.6108615,-0.24928524,-0.43077403,-0.82973266,-0.34706736,-0.28744885,-0.0533208,0.77569914,0.7010107,0.7638951,0.58996576,0.3021254,0.031723335,1.0635339,1.1421078,0.85178936,1.2369245,1.4567748,1.224049,1.5884596,0.6924174,-0.16572358,0.7247841,0.29540333,0.10064577,-0.56268895,-1.383432,-0.253899,0.10484299
-0.6209793,-0.001915431,-0.5695682,0.22165377,-0.09002785,-0.02170856,-0.05269049,-0.028049724,-0.3115411,-0.19230944,-0.94111276,-0.08039771,1.5858306,0.9007056,0.23707682,0.67969704,0.6524791,0.15714003,0.37683964,0.9752191,0.53837013,0.31286207,-0.35039753,0.23890258,0.6191683,0.6828764,0.86768264,-0.22318996,-0.24383584,0.7576144,1.2730863,1.1193303,1.2548892,1.0600766,1.3754894,1.2666043,0.77233607,1.0644573,1.2686876,1.6228229,1.3309649,1.0364372,1.0032161,0.21084513,-0.5723479,-1.1377225,-0.04328778,0.078196086,-0.779453,-0.95808226,-1.4275011,-0.15718569,0.17232381,0.3655541,0.6211315,0.74082375,0.81247306,-0.6803296,-0.61852145,-0.37817955,-0.12120198,0.55447286,-0.33008543,-0.12553851,-0.120110534,-0.72145224,-0.13251238,-0.05306697,0.049733706,0.6325104,0.407581,0.444283,0.2247904,-0.13566001,-0.26162001,0.79862535,0.9299667,0.5188184,1.056489,1.330381,1.0386782,1.3686068,0.7158687,-0.29127267,0.5078426,0.12645274,-0.1533105,-0.67625946,-1.6429257,-0.48377004,-0.00885851
-0.43810782,0.22616926,-0.3462172,0.46253213,-0.0079633,0.03976246,0.025088752,0.15403308,-0.25874332,-0.03868797,-0.72654545,-0.29555196,1.5720937,1.0322896,0.32410488,0.7711756,0.5996839,0.30203202,0.48559272,0.72921544,0.4247799,0.36572206,-0.5421325,0.32514518,0.3762159,0.30986652,0.9683939,-0.40969062,-0.5247269,0.6007938,1.1237584,0.98558074,1.0604802,0.9542637,1.1163449,1.1775792,0.84196144,0.97414106,1.2774532,1.5666783,1.2752355,0.8427993,0.826925,-0.042554278,-0.83244747,-1.5498888,-0.39116472,-0.16980585,-1.0158132,-1.0345223,-1.6661166,-0.21590199,0.1088736,0.52382743,0.53617656,0.40997222,0.6355801,-0.5108566,-0.37674052,-0.18179214,0.14315483,0.75962764,0.018532192,0.04728877,0.25521174,-0.5513459,0.13526487,0.19021992,0.20204778,0.4319907,0.066954836,0.09635647,-0.19312112,-0.533998,-0.5398056,0.50355357,0.674746,0.18019311,0.83023006,1.1059952,0.80342895,1.0981216,0.6116488,-0.4456491,0.19734386,-0.10026407,-0.436533,-0.8180461,-1.7947338,-0.72786504,-0.13356672
